#{"t_start": 1641047317.2558076, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,275,6.512741
0.0,129,7.771852
0.0,129,9.020829
0.0,129,10.405627
6.0,399,15.52646
2.0,227,18.394495
2.0,226,21.222368
1.0,176,23.396724
0.0,129,24.913738
0.0,127,26.42375
0.0,129,27.920885
1.0,155,29.81009
2.0,202,32.267412
0.0,125,33.746289
0.0,129,35.2805
8.0,372,40.05511
2.0,202,42.434081
2.0,207,45.04721
2.0,200,47.470001
0.0,127,48.883295
0.0,129,50.395744
3.0,246,53.537445
0.0,125,55.005275
4.0,299,58.779814
0.0,129,60.270314
0.0,129,61.808847
1.0,155,63.701422
4.0,297,67.389076
5.0,350,71.902474
9.0,404,76.918972
3.0,251,79.947664
2.0,202,82.471559
0.0,127,83.974882
1.0,173,86.006591
4.0,299,89.727887
6.0,360,94.299565
4.0,277,97.685183
10.0,471,103.663678
2.0,198,106.013337
2.0,208,108.578072
1.0,155,110.420208
2.0,183,112.538879
0.0,125,113.999289
0.0,127,115.45232
5.0,350,119.906687
2.0,203,122.339574
1.0,153,124.119655
9.0,401,129.247307
2.0,229,132.002376
1.0,157,133.849394
2.0,188,136.10981
2.0,204,138.546499
5.0,350,142.871618
3.0,246,145.877237
0.0,129,147.320567
7.0,410,152.190425
4.0,280,155.650232
0.0,129,157.131137
6.0,380,161.819132
1.0,155,163.579412
9.0,401,168.371639
5.0,308,172.077549
2.0,187,174.197688
3.0,235,176.986823
2.0,188,179.223623
16.0,528,185.568043
19.0,681,193.758617
8.0,474,199.396456
12.0,522,205.552737
12.0,509,211.594995
13.0,334,215.507393
14.0,467,221.040094
2.0,186,223.192144
9.0,489,228.946659
4.0,303,232.414755
10.0,505,238.376756
7.0,381,242.850487
11.0,500,248.662564
9.0,491,254.393763
18.0,426,259.379442
14.0,607,266.530606
10.0,510,272.450512
25.0,860,282.66228
24.0,900,293.245803
13.0,372,297.553509
9.0,461,302.922615
19.0,713,311.255885
14.0,653,318.851106
29.0,1060,331.182065
8.0,452,336.475148
17.0,688,344.506369
22.0,663,352.219846
20.0,750,360.850062
24.0,749,369.528831
25.0,810,378.914928
17.0,513,384.814098
20.0,569,391.356382
53.0,1268,406.100708
17.0,633,413.444935
29.0,702,421.503464
14.0,638,428.849614
18.0,653,436.426662
25.0,811,445.788882
20.0,543,451.937648
30.0,935,462.732332
23.0,817,472.183218
29.0,996,483.415196
55.0,981,494.685852
52.0,794,503.795836
20.0,579,510.398231
17.0,710,518.627651
25.0,820,528.015534
17.0,635,535.286102
38.0,974,546.431555
41.0,942,557.229636
54.0,911,567.755023
60.0,1551,585.632714
47.0,1256,599.936564
16.0,633,607.295029
61.0,1180,620.647964
14.0,505,626.406415
22.0,794,635.368282
49.0,769,644.144903
31.0,815,653.409071
55.0,1373,669.046021
13.0,541,675.240949
53.0,1182,688.656996
66.0,1394,704.718143
35.0,852,714.334596
35.0,818,723.651796
84.0,1447,740.17774
177.0,1712,759.668687
96.0,1434,775.966606
51.0,1172,789.267275
71.0,1224,803.248805
206.0,1468,819.981843
86.0,1463,836.593508
93.0,1608,854.944024
75.0,1688,874.180013
62.0,1313,889.205358
89.0,1612,907.635895
96.0,1385,923.494418
65.0,1177,936.95321
79.0,1223,950.887733
224.0,1130,963.832133
55.0,1160,977.033359
62.0,1017,988.651954
60.0,1040,1000.45284
119.0,1412,1016.579967
75.0,1110,1029.23086
84.0,1358,1044.695255
34.0,952,1055.535912
271.0,1808,1076.096823
227.0,1524,1093.413611
89.0,1540,1111.045353
357.0,1703,1130.476881
146.0,1587,1148.519897
84.0,1249,1162.7384
47.0,1126,1175.586988
126.0,1746,1195.509767
94.0,1437,1211.902364
33.0,1057,1223.942117
120.0,1361,1239.423563
85.0,1424,1255.537153
118.0,1536,1272.924891
349.0,1957,1295.271106
96.0,1300,1310.092442
86.0,1569,1327.994428
296.0,1758,1347.866422
55.0,1012,1359.355503
63.0,1346,1374.652947
99.0,1335,1389.940513
114.0,1356,1405.400574
2.0,183,1407.688759
0.0,127,1409.315705
16.0,529,1415.387839
300.0,2123,1439.561017
270.0,1451,1455.994431
1.0,176,1458.103928
0.0,127,1459.625342
86.0,1622,1478.07495
146.0,1630,1496.675306
166.0,1222,1510.530872
280.0,1558,1528.345297
76.0,1411,1544.373688
60.0,1237,1558.419394
300.0,1588,1576.447684
46.0,1027,1588.040582
276.0,1668,1606.962089
180.0,1657,1625.777939
243.0,1619,1644.255063
114.0,1535,1661.671346
0.0,129,1663.262642
0.0,129,1664.844038
10.0,447,1669.8664
59.0,1121,1682.637316
111.0,1259,1696.890766
228.0,1775,1717.017979
213.0,1671,1736.038801
230.0,1597,1754.161238
193.0,1836,1774.945206
317.0,1902,1796.47711
227.0,1529,1813.788051
188.0,1940,1835.75944
20.0,602,1842.54754
38.0,1105,1855.061947
148.0,1660,1873.844182
250.0,1855,1894.804517
222.0,1633,1913.324061
365.0,1494,1930.194176
135.0,1448,1946.58385
339.0,1468,1963.230434
208.0,1574,1981.014404
208.0,1596,1999.041005
113.0,1356,2014.428575
256.0,1525,2031.683221
153.0,1820,2052.232965
318.0,2292,2078.284876
384.0,2084,2101.830904
290.0,1595,2119.789107
366.0,1879,2141.025508
241.0,1555,2158.553301
341.0,1914,2180.25699
326.0,1873,2201.468191
54.0,1219,2215.348916
387.0,2150,2239.651939
372.0,2125,2263.815828
288.0,1848,2284.779162
20.0,718,2292.834234
341.0,2337,2319.529522
408.0,2342,2346.07148
156.0,1619,2364.276453
326.0,1915,2385.993005
176.0,1727,2405.385374
374.0,2003,2428.112238
418.0,2332,2454.410771
396.0,2359,2481.036534
430.0,2552,2510.114825
354.0,2427,2537.570172
385.0,2189,2562.35526
157.0,1533,2579.752866
45.0,1015,2591.298517
336.0,2162,2615.818889
402.0,2464,2643.598562
344.0,1761,2663.423128
362.0,2011,2686.192232
439.0,2761,2717.533971
401.0,1888,2738.822057
132.0,1387,2754.364602
402.0,2215,2779.338655
189.0,1620,2797.709354
296.0,1800,2818.069486
296.0,1805,2838.435221
323.0,1923,2860.196997
305.0,1794,2880.431759
385.0,1972,2902.654755
432.0,2594,2931.88567
413.0,1881,2953.050375
21.0,851,2964.539351
26.0,773,2973.38353
