#{"t_start": 1641047317.2560606, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.910654
4.0,278,7.807798
0.0,127,9.043846
0.0,127,10.374595
0.0,129,11.937579
0.0,129,13.369757
3.0,266,16.791898
0.0,129,18.354508
4.0,301,22.204016
3.0,272,25.654771
2.0,198,28.068568
0.0,127,29.562483
0.0,125,31.031453
0.0,127,32.546337
2.0,200,34.99142
0.0,125,36.484206
0.0,127,37.964745
0.0,127,39.461732
3.0,248,42.496809
3.0,226,45.338341
4.0,297,48.968193
9.0,404,54.171995
2.0,200,56.725228
5.0,350,61.086683
0.0,125,62.572873
0.0,129,64.090143
5.0,328,68.186341
0.0,125,69.731067
0.0,129,71.232446
0.0,127,72.741446
5.0,350,77.061523
2.0,227,79.753403
0.0,127,81.25208
0.0,127,82.799031
1.0,173,84.89631
0.0,127,86.344671
2.0,202,88.806734
0.0,127,90.288204
0.0,127,91.758424
2.0,200,94.167885
0.0,127,95.645275
2.0,187,97.88796
0.0,125,99.35515
2.0,202,101.850063
1.0,157,103.691831
4.0,278,107.038073
5.0,350,111.482054
9.0,404,116.489275
0.0,129,118.032626
0.0,127,119.534654
3.0,248,122.54949
3.0,230,125.326164
0.0,129,126.920894
1.0,155,128.772715
3.0,254,131.834631
5.0,329,135.927141
2.0,201,138.288649
1.0,157,140.11419
2.0,184,142.317462
3.0,230,145.130159
2.0,202,147.530341
10.0,470,153.19642
2.0,204,155.646396
2.0,187,157.876547
4.0,279,161.27318
5.0,350,165.483096
9.0,531,171.905313
6.0,358,176.192712
11.0,484,182.141009
4.0,281,185.402314
4.0,244,188.243793
8.0,398,192.901496
4.0,304,196.527124
9.0,470,202.054317
4.0,279,205.270371
14.0,533,211.623139
8.0,277,214.822342
15.0,525,221.074574
11.0,585,228.029207
10.0,378,232.435473
9.0,308,235.972589
8.0,428,240.976889
12.0,320,244.7245
16.0,428,249.714588
13.0,546,256.04895
6.0,393,260.658913
23.0,730,269.250979
4.0,264,272.24536
7.0,409,277.03582
14.0,601,284.097867
22.0,692,292.149909
7.0,426,297.148053
17.0,732,305.734353
14.0,576,312.457789
25.0,468,317.827417
29.0,878,327.990347
13.0,665,335.843455
16.0,600,342.832301
17.0,634,350.202752
14.0,660,357.754411
13.0,593,364.597734
20.0,695,372.635085
37.0,1082,385.253227
12.0,544,391.505112
20.0,760,400.259446
13.0,650,407.765172
20.0,450,412.903006
41.0,1044,425.049502
36.0,705,433.17358
33.0,899,443.609051
33.0,893,453.841737
34.0,832,463.465169
30.0,811,472.820785
37.0,1065,484.845069
36.0,1185,498.526495
44.0,1149,511.85033
220.0,1038,523.826796
41.0,1045,535.891926
46.0,1164,549.218132
18.0,727,557.541681
26.0,827,567.04468
48.0,1124,579.922032
46.0,1160,593.202501
46.0,1118,606.160687
67.0,1300,620.944444
51.0,1030,632.744246
39.0,1045,644.659748
49.0,1265,659.177581
61.0,1250,673.352771
67.0,1070,685.560859
52.0,1189,699.220585
35.0,1014,710.795123
25.0,901,721.035924
64.0,1448,737.518561
32.0,880,747.460308
48.0,992,758.737956
73.0,1268,773.177083
76.0,1496,790.171086
35.0,888,800.269963
104.0,1281,814.881541
139.0,1671,833.804382
90.0,1372,849.44837
72.0,1265,863.841465
80.0,1555,881.606958
115.0,1704,901.173935
52.0,941,911.904059
81.0,1150,925.039123
89.0,1529,942.499099
246.0,1582,960.665188
65.0,1536,978.195789
89.0,1749,998.21187
110.0,1380,1013.974601
63.0,1374,1029.686744
76.0,1162,1042.8367
41.0,1069,1055.045144
131.0,1522,1072.368665
114.0,1349,1087.656545
127.0,1470,1104.474174
158.0,1227,1118.467363
99.0,1281,1133.024008
84.0,1505,1150.091131
51.0,1289,1164.860547
105.0,1678,1183.989031
94.0,1648,1202.802996
94.0,1485,1219.730464
76.0,1387,1235.5263
52.0,1138,1248.389925
292.0,1719,1267.915693
232.0,1844,1288.880148
20.0,824,1298.241695
148.0,1638,1316.922634
69.0,904,1327.163214
274.0,1304,1341.912028
162.0,1817,1362.566986
313.0,1823,1383.4244
65.0,1377,1399.044277
19.0,666,1406.882604
1.0,155,1408.873078
54.0,1115,1421.775951
340.0,1559,1439.440751
132.0,1613,1457.966225
0.0,129,1459.526524
66.0,1269,1473.917416
120.0,1519,1491.178496
160.0,1696,1510.578688
295.0,2038,1533.878408
66.0,1295,1548.607969
121.0,1572,1566.464328
221.0,1605,1584.678093
180.0,1606,1602.88665
94.0,1420,1618.983856
185.0,1439,1635.445836
76.0,870,1645.230994
79.0,1583,1663.499591
2.0,198,1665.959732
104.0,1456,1682.478378
241.0,1635,1701.045988
265.0,1675,1720.010795
290.0,1752,1739.961993
143.0,1661,1758.827677
289.0,1924,1780.610656
394.0,1757,1800.496476
106.0,1485,1817.338936
170.0,1741,1837.005878
87.0,1169,1850.242533
12.0,538,1856.291187
102.0,1453,1872.673743
234.0,1473,1889.286264
96.0,1388,1905.056655
238.0,1827,1925.628815
50.0,912,1936.036231
203.0,1512,1953.17687
89.0,1454,1969.601735
253.0,1813,1990.0739
253.0,1458,2006.64843
343.0,1573,2024.400323
288.0,2001,2047.051404
324.0,1921,2068.813995
352.0,1391,2084.47137
350.0,2266,2110.02575
308.0,1618,2128.322895
245.0,1914,2150.036055
359.0,2164,2174.463066
130.0,1563,2192.164551
265.0,1697,2211.394565
28.0,795,2220.477524
338.0,1763,2240.356073
336.0,1806,2260.84921
346.0,1867,2282.031211
314.0,1553,2299.719345
334.0,2118,2323.821345
311.0,1661,2342.574334
432.0,2409,2369.839183
131.0,1416,2385.83033
368.0,1749,2405.487856
248.0,1638,2424.071257
392.0,2408,2451.153993
379.0,1920,2472.818379
396.0,2182,2497.565414
369.0,1981,2520.134325
258.0,1647,2538.702147
358.0,2012,2561.444034
150.0,1641,2580.136513
372.0,1566,2597.899202
301.0,1954,2620.082377
291.0,2151,2644.278252
205.0,1809,2664.654707
371.0,2000,2687.277611
379.0,2041,2710.363832
186.0,1439,2726.672061
354.0,2157,2750.902554
60.0,882,2760.792864
84.0,882,2770.561416
46.0,1190,2784.024297
405.0,2560,2813.082721
272.0,1926,2834.825955
373.0,2079,2858.323449
425.0,2955,2891.70642
364.0,2206,2916.60602
386.0,1923,2938.275846
378.0,1541,2955.595394
410.0,2416,2985.185273
