#{"t_start": 1641047317.2519724, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.914552
0.0,127,6.163844
2.0,219,8.39242
4.0,278,11.608952
1.0,175,13.684201
0.0,127,15.242427
9.0,384,20.23164
2.0,200,22.709903
0.0,127,24.214033
4.0,299,27.981301
8.0,459,33.869873
0.0,127,35.370463
5.0,350,39.85078
4.0,299,43.524545
0.0,127,45.09079
2.0,198,47.468074
2.0,202,49.852958
0.0,129,51.414112
0.0,125,52.912891
2.0,198,55.371892
9.0,404,60.523066
0.0,125,61.97177
2.0,198,64.430856
5.0,350,68.852955
6.0,402,73.978025
3.0,254,77.088901
1.0,173,79.050089
0.0,127,80.542657
0.0,127,82.093909
0.0,129,83.625327
0.0,127,85.119449
2.0,224,87.816181
3.0,268,91.157459
2.0,206,93.673055
5.0,350,98.029779
3.0,235,100.899462
1.0,174,103.016705
3.0,248,105.987471
3.0,232,108.886466
5.0,329,112.926068
1.0,156,114.741962
5.0,350,119.197322
0.0,129,120.689219
1.0,175,122.772745
2.0,203,125.202413
0.0,127,126.752374
2.0,199,129.170744
4.0,264,132.36745
5.0,350,136.717492
1.0,176,138.814428
4.0,260,141.961344
0.0,129,143.463256
2.0,185,145.66952
4.0,297,149.2379
2.0,202,151.527058
6.0,365,156.02099
4.0,284,159.517745
3.0,276,162.827616
10.0,460,168.336924
5.0,299,171.929771
6.0,378,176.460598
7.0,428,181.683114
8.0,483,187.474385
12.0,517,193.627762
6.0,380,198.140286
9.0,495,203.952228
8.0,299,207.421936
10.0,517,213.588867
10.0,359,217.757359
9.0,404,222.5762
5.0,353,226.678493
10.0,570,233.435422
6.0,328,237.2228
6.0,344,241.24807
11.0,506,247.163053
11.0,440,252.283094
8.0,299,255.678756
8.0,411,260.506462
9.0,443,265.663002
14.0,544,272.00476
11.0,445,277.241099
12.0,531,283.42164
15.0,518,289.443025
13.0,520,295.53516
11.0,271,298.59799
12.0,577,305.32127
21.0,634,312.772089
16.0,649,320.271492
25.0,547,326.470424
16.0,557,332.987145
22.0,559,339.571309
36.0,843,349.414023
17.0,715,357.640655
28.0,822,367.178943
16.0,665,374.91784
26.0,672,382.665904
14.0,633,389.975166
21.0,773,398.834501
17.0,643,406.296562
24.0,910,416.881313
28.0,800,426.121087
22.0,767,434.953764
25.0,774,443.946382
69.0,1547,461.883572
26.0,693,469.864916
16.0,733,478.222919
62.0,1334,493.432914
37.0,559,499.79844
29.0,692,507.684381
33.0,920,518.367265
36.0,940,529.226471
34.0,990,540.607512
41.0,1041,552.513593
35.0,998,564.018982
17.0,699,571.957752
15.0,600,578.752751
27.0,792,587.827507
64.0,1420,604.158408
88.0,1465,620.922985
21.0,618,628.03482
66.0,1380,643.773019
51.0,1150,656.913636
42.0,924,667.312351
193.0,1403,683.437549
44.0,1262,697.935936
69.0,1343,713.245291
42.0,786,722.208194
76.0,954,733.03537
56.0,1137,745.91391
179.0,1266,760.376085
73.0,1412,776.39306
114.0,1399,792.323664
51.0,804,801.465281
101.0,1400,817.383271
309.0,1714,836.898574
93.0,1378,852.610683
195.0,1210,866.30502
24.0,449,871.373188
41.0,895,881.463598
61.0,1366,897.051599
45.0,916,907.515455
95.0,1182,921.017943
60.0,1212,934.888211
111.0,1810,955.698658
59.0,1023,967.330936
72.0,1202,981.063235
101.0,1534,998.547875
67.0,1418,1014.757357
92.0,1669,1033.858479
44.0,1235,1047.909258
86.0,1429,1064.193473
93.0,1471,1080.866784
75.0,1286,1095.493702
41.0,995,1106.875038
62.0,1208,1120.640042
101.0,1332,1135.746978
239.0,1563,1153.543025
87.0,1282,1168.169459
119.0,1640,1186.846277
68.0,973,1197.924055
127.0,1580,1215.93908
245.0,1174,1229.30169
120.0,1464,1245.910843
70.0,1461,1262.498405
172.0,1358,1277.858286
214.0,1232,1291.870903
120.0,1251,1306.182157
67.0,1028,1317.821479
43.0,837,1327.270972
72.0,967,1338.1765
255.0,1432,1354.312515
213.0,1274,1368.80503
66.0,1157,1382.06444
97.0,1617,1400.456897
12.0,508,1406.348439
3.0,218,1409.230292
10.0,456,1414.46744
52.0,1084,1426.756938
117.0,1464,1443.362576
53.0,1253,1457.701315
0.0,129,1459.243792
0.0,127,1460.720747
101.0,1438,1476.932867
116.0,1445,1493.410003
131.0,1657,1512.328148
189.0,1186,1525.805696
79.0,1504,1542.890707
90.0,1325,1557.951426
275.0,1573,1575.8422
256.0,1636,1594.436248
187.0,1977,1616.858274
66.0,1328,1631.976561
81.0,1384,1647.780108
87.0,1388,1663.810329
247.0,1665,1683.059635
55.0,1112,1695.629873
195.0,1733,1715.244351
83.0,1357,1730.650138
148.0,1762,1750.628565
133.0,1726,1770.208848
242.0,1790,1790.47831
346.0,1727,1809.999583
109.0,1324,1825.029315
87.0,1327,1840.043197
79.0,1350,1855.373978
181.0,1439,1871.583567
107.0,1540,1888.94829
362.0,1914,1910.758325
194.0,1582,1928.574316
191.0,1481,1945.35644
266.0,1681,1964.443114
280.0,1696,1983.623852
181.0,1405,1999.480766
85.0,1283,2014.022644
396.0,2696,2044.609608
317.0,1810,2065.141655
84.0,1196,2078.61873
361.0,1658,2097.336066
269.0,2100,2120.995061
349.0,1916,2142.731294
263.0,1575,2160.395287
322.0,1967,2182.712937
261.0,1791,2203.026679
50.0,1016,2214.567178
365.0,1487,2231.432757
286.0,1839,2252.207709
260.0,1517,2269.396308
174.0,1678,2288.368996
287.0,2038,2311.680262
198.0,1553,2329.243203
360.0,1835,2350.01942
75.0,1362,2365.314304
258.0,2341,2391.845119
397.0,2117,2415.797676
344.0,2015,2438.513089
399.0,2194,2463.267845
399.0,1922,2484.947302
315.0,1739,2504.718585
395.0,1966,2526.960542
350.0,2005,2549.661711
349.0,1881,2570.90421
32.0,816,2580.235297
16.0,536,2586.291621
380.0,1732,2605.931946
95.0,1112,2618.384297
360.0,2377,2645.180587
385.0,2047,2668.253953
286.0,1711,2687.59094
405.0,2213,2712.644993
424.0,2398,2739.766315
346.0,1550,2757.180191
353.0,1846,2777.934301
161.0,1653,2796.678836
345.0,2246,2822.123192
298.0,2226,2847.316558
428.0,2237,2872.62358
361.0,2165,2897.004663
336.0,1872,2918.086956
398.0,2626,2947.717611
402.0,2217,2974.919822
