#{"t_start": 1641047317.2578878, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
6.0,380,7.643235
0.0,129,8.911712
2.0,202,11.239749
5.0,328,15.399965
0.0,129,16.932839
3.0,253,20.154465
0.0,127,21.639324
4.0,280,25.252727
0.0,129,26.76464
2.0,202,29.218072
1.0,173,31.315166
2.0,200,33.785245
2.0,198,36.247777
2.0,200,38.714102
0.0,127,40.224528
5.0,352,44.643869
11.0,480,50.675649
0.0,129,52.258277
3.0,250,55.415932
1.0,173,57.572156
0.0,125,58.993868
3.0,245,62.030624
3.0,248,65.118835
0.0,127,66.583393
0.0,127,68.066655
0.0,127,69.626893
2.0,183,71.85759
9.0,404,76.872026
2.0,202,79.282485
2.0,202,81.799121
0.0,129,83.339551
0.0,129,84.831915
1.0,155,86.684822
9.0,404,91.751822
0.0,129,93.251978
3.0,230,96.055797
4.0,299,99.801962
2.0,200,102.251462
0.0,127,103.710448
5.0,352,108.045073
0.0,127,109.556059
0.0,129,111.040545
5.0,350,115.329983
1.0,157,117.254583
0.0,125,118.719618
3.0,255,121.849052
4.0,323,125.852633
3.0,229,128.731405
4.0,319,132.630978
0.0,129,134.11817
13.0,509,140.473268
3.0,216,143.131007
1.0,176,145.208827
6.0,396,150.038138
4.0,317,153.811368
2.0,221,156.471314
5.0,350,160.787138
4.0,256,163.842126
3.0,252,166.802036
6.0,353,170.970152
6.0,380,175.548072
2.0,202,177.955726
4.0,301,181.541827
30.0,465,187.102625
3.0,238,189.869508
15.0,502,195.879213
9.0,404,200.607825
14.0,368,204.885935
7.0,395,209.537903
9.0,323,213.331418
11.0,434,218.414951
21.0,376,222.92405
12.0,321,226.601432
20.0,773,235.793029
12.0,453,241.11616
9.0,466,246.581659
10.0,509,252.543869
20.0,595,259.560019
12.0,551,266.011976
15.0,603,273.103947
8.0,422,278.000758
17.0,359,282.142598
18.0,675,290.032259
13.0,558,296.614486
16.0,500,302.410318
25.0,815,311.98367
24.0,726,320.415096
16.0,659,327.9859
11.0,553,334.433318
20.0,711,342.803553
12.0,575,349.469015
20.0,722,357.786451
24.0,503,363.541166
30.0,874,373.728075
14.0,601,380.645991
13.0,571,387.285098
30.0,639,394.5799
45.0,1008,406.263413
18.0,604,413.240865
25.0,743,421.801391
15.0,669,429.525888
25.0,933,440.41563
14.0,582,447.023126
35.0,1209,461.008916
18.0,727,469.402762
22.0,531,475.469
32.0,888,485.399307
28.0,729,493.772879
35.0,954,504.743003
28.0,980,516.116331
42.0,905,526.471431
26.0,680,534.271008
72.0,1565,552.323674
30.0,983,563.628693
26.0,948,574.483626
29.0,1111,587.250215
28.0,894,597.366878
31.0,721,605.761883
75.0,1295,620.443244
11.0,493,626.047014
23.0,650,633.440346
44.0,698,641.308187
58.0,1001,652.733227
96.0,1508,669.948421
26.0,550,676.274287
77.0,1276,690.808777
38.0,1053,702.856318
65.0,1106,715.476652
55.0,838,724.961158
63.0,1320,740.022587
57.0,1247,754.113398
39.0,987,765.414247
75.0,1289,780.001451
111.0,1585,798.071633
120.0,1543,815.719317
57.0,1160,828.815347
55.0,1032,840.540327
77.0,1120,853.305975
71.0,934,863.793598
33.0,489,869.331245
77.0,1522,886.687812
70.0,1339,902.052185
131.0,1568,919.938569
63.0,1350,935.43884
29.0,906,945.719111
117.0,1406,961.826591
12.0,542,967.946575
42.0,1143,980.97592
66.0,1402,996.95732
41.0,1208,1010.704806
120.0,1692,1030.104592
27.0,739,1038.387297
73.0,1269,1052.851418
45.0,987,1064.063551
118.0,1864,1085.31206
70.0,1256,1099.5777
101.0,1160,1112.812883
184.0,1705,1132.280842
41.0,794,1141.253153
61.0,819,1150.460963
54.0,1082,1162.773164
127.0,1809,1183.448859
221.0,1398,1199.406929
105.0,1708,1218.87326
173.0,1474,1235.728792
72.0,1169,1248.91862
28.0,852,1258.560789
109.0,1520,1275.728493
59.0,1061,1287.742948
152.0,1599,1306.064293
284.0,1459,1322.640322
293.0,1618,1341.018064
86.0,1351,1356.269367
158.0,1677,1375.454625
36.0,1058,1387.536389
166.0,1514,1404.726647
3.0,214,1407.412512
0.0,125,1409.013186
