#{"t_start": 1641047317.2527523, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,171,5.347981
5.0,350,9.070241
0.0,127,10.406927
5.0,350,14.803575
0.0,127,16.371658
0.0,127,17.912106
2.0,200,20.401414
0.0,127,21.904982
2.0,202,24.412843
8.0,481,30.565109
0.0,125,32.038168
0.0,129,33.573566
0.0,129,35.121511
0.0,123,36.597126
0.0,125,38.048166
0.0,127,39.556852
4.0,299,43.232036
0.0,127,44.777948
0.0,129,46.260729
0.0,127,47.741831
2.0,198,50.085722
0.0,129,51.664455
1.0,176,53.827087
0.0,127,55.333788
5.0,350,59.772032
1.0,157,61.628817
4.0,297,65.40508
0.0,129,66.87367
0.0,125,68.366099
4.0,299,72.204233
2.0,202,74.590782
4.0,299,78.231479
0.0,129,79.71361
5.0,349,84.204755
2.0,200,86.615209
0.0,127,88.087752
1.0,172,90.137276
6.0,402,95.222944
2.0,200,97.612794
2.0,200,100.091555
5.0,323,104.091469
3.0,248,107.083319
3.0,255,110.282123
2.0,202,112.657449
5.0,348,117.034257
2.0,184,119.283887
3.0,228,122.040904
5.0,344,126.368625
6.0,330,130.50959
6.0,398,135.475445
2.0,202,137.838335
5.0,312,141.681502
2.0,221,144.36712
6.0,375,148.969561
7.0,345,153.057001
3.0,248,156.082498
3.0,227,158.847496
4.0,265,162.027456
9.0,335,166.066003
9.0,470,171.659005
8.0,448,177.138258
9.0,404,182.049624
6.0,376,186.481915
6.0,398,191.216626
11.0,271,194.399725
8.0,277,197.604195
12.0,533,203.872631
6.0,341,207.860909
10.0,437,213.048947
7.0,394,217.640878
11.0,271,220.808892
5.0,324,224.632326
5.0,294,227.998282
7.0,373,232.330629
19.0,500,238.249526
11.0,538,244.598266
18.0,697,252.813461
17.0,687,260.914325
11.0,541,267.259703
10.0,491,272.984448
14.0,529,279.170698
7.0,415,283.990418
27.0,874,294.338946
27.0,582,301.094944
15.0,583,307.89574
17.0,663,315.682244
6.0,369,319.815461
12.0,621,326.926265
20.0,750,335.806738
22.0,691,343.902801
15.0,701,352.037719
39.0,1043,364.12382
18.0,805,373.488365
18.0,723,381.851808
29.0,418,386.638692
23.0,743,395.202947
23.0,919,405.808848
19.0,701,414.019434
48.0,1084,426.550927
18.0,681,434.387794
17.0,449,439.536032
24.0,807,448.880241
44.0,1069,461.19395
21.0,810,470.549361
28.0,854,480.2815
58.0,1377,495.972928
45.0,1252,510.496442
15.0,656,518.045118
26.0,671,525.71653
52.0,1247,540.132421
41.0,931,550.771985
41.0,905,561.164483
61.0,1315,576.326567
32.0,807,585.567386
27.0,595,592.227351
42.0,1035,604.126503
55.0,1471,621.00887
84.0,1546,638.735435
69.0,1410,654.91704
43.0,1072,667.030204
14.0,607,674.012765
28.0,1010,685.429038
73.0,1260,699.929741
71.0,1444,716.48217
51.0,963,727.395743
80.0,1492,744.4026
56.0,1380,760.12939
116.0,1629,778.662068
21.0,743,786.99499
118.0,1533,804.567592
66.0,1335,819.741334
28.0,698,827.564441
51.0,937,838.188144
39.0,1144,851.173974
91.0,1428,867.488476
43.0,1037,879.188238
61.0,917,889.676054
88.0,1312,904.638137
115.0,1648,923.563959
57.0,1315,938.627039
80.0,1374,954.328341
88.0,1207,968.146232
289.0,1602,986.466952
117.0,1610,1004.850374
232.0,863,1014.60746
64.0,1108,1027.215153
99.0,1593,1045.447334
46.0,1036,1057.25349
230.0,1671,1076.233111
129.0,1501,1093.25223
63.0,1243,1107.510211
196.0,1679,1126.646808
97.0,1574,1144.545825
49.0,976,1155.657379
181.0,1661,1174.607985
47.0,950,1185.353187
181.0,1342,1200.670192
108.0,1432,1216.957826
95.0,1548,1234.627333
116.0,1389,1250.41345
85.0,1295,1265.020364
135.0,1615,1283.420611
132.0,1648,1302.231383
284.0,1565,1320.063877
134.0,1307,1334.880921
219.0,1737,1354.552622
72.0,1298,1369.320631
21.0,894,1379.557563
42.0,671,1387.117098
123.0,1303,1401.872775
8.0,413,1406.717268
0.0,129,1408.365686
30.0,893,1418.828862
82.0,1146,1431.803811
284.0,1936,1453.723384
7.0,346,1457.751621
0.0,129,1459.300206
68.0,1100,1471.807812
137.0,1555,1489.460667
227.0,1789,1509.904017
118.0,1297,1524.681386
115.0,1508,1541.850224
111.0,1472,1558.650895
101.0,1216,1572.366716
326.0,1863,1593.55147
263.0,1572,1611.378238
144.0,1535,1628.833179
53.0,1178,1642.205972
106.0,1807,1663.013664
0.0,129,1664.567441
53.0,1147,1677.682288
59.0,1440,1694.091145
296.0,1811,1714.597268
238.0,1348,1729.911966
34.0,708,1737.877873
112.0,1494,1754.837623
215.0,1688,1773.933795
296.0,1697,1793.092923
122.0,1346,1808.272317
101.0,1551,1825.903391
68.0,1360,1841.298414
48.0,886,1851.237265
34.0,1113,1863.826359
95.0,1447,1880.160993
137.0,1322,1895.107718
66.0,953,1905.871086
349.0,2178,1930.5398
259.0,1702,1949.880933
217.0,1852,1970.865312
274.0,1707,1990.156596
386.0,1664,2009.054067
270.0,1802,2029.443221
256.0,1846,2050.281391
69.0,1035,2061.968881
88.0,1349,2077.237324
232.0,1608,2095.34682
356.0,1781,2115.363993
380.0,1514,2132.457503
207.0,2572,2161.589486
283.0,2036,2184.708845
289.0,1373,2200.227428
142.0,1692,2219.521117
381.0,2217,2244.611142
246.0,1334,2259.708758
197.0,1283,2274.275989
375.0,1809,2294.779518
399.0,2022,2317.807708
392.0,2393,2344.967205
371.0,1664,2363.669424
334.0,1913,2385.32131
168.0,1663,2404.029718
183.0,1061,2416.069675
329.0,1911,2437.586358
311.0,1609,2455.719
372.0,2081,2479.138398
300.0,1458,2495.626851
394.0,2139,2520.001123
86.0,1427,2536.051469
80.0,1441,2552.298322
34.0,1242,2566.339765
80.0,1200,2579.945249
71.0,1086,2592.268128
61.0,1133,2605.087594
321.0,1526,2622.351167
356.0,1943,2644.137788
418.0,1887,2665.401224
61.0,1137,2678.244422
172.0,1563,2695.787078
93.0,1262,2710.044774
330.0,2140,2734.25257
311.0,1802,2754.549802
391.0,2366,2781.24695
394.0,1823,2801.9467
264.0,2293,2827.926467
405.0,2471,2855.862049
409.0,2430,2883.299679
406.0,2449,2910.93585
342.0,2017,2933.642622
278.0,1840,2954.367223
361.0,2345,2983.097796
