#{"t_start": 1640972115.0606046, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.805118
2.0,187,6.484655
3.0,248,8.918672
1.0,173,10.707978
1.0,153,12.497911
4.0,308,16.256506
1.0,171,18.26449
1.0,173,20.306076
2.0,202,22.763171
0.0,125,24.186323
0.0,125,25.563875
0.0,125,26.989871
2.0,181,29.113428
1.0,173,31.197114
2.0,207,33.718356
0.0,127,35.186845
0.0,127,36.606562
0.0,127,37.933613
5.0,330,41.907633
0.0,129,43.374886
7.0,431,48.574293
8.0,482,54.339502
1.0,178,56.403483
0.0,127,57.818708
2.0,221,60.400465
0.0,129,61.797737
4.0,299,65.334315
1.0,173,67.325925
5.0,368,71.764646
1.0,172,73.676079
5.0,350,77.75694
0.0,129,79.144593
9.0,404,83.955001
2.0,202,86.259919
5.0,350,90.353218
1.0,176,92.41479
0.0,127,93.807397
2.0,220,96.398435
1.0,176,98.317466
0.0,129,99.730289
2.0,206,102.07386
0.0,127,103.493027
0.0,129,104.874985
5.0,350,108.935916
0.0,127,110.262914
3.0,237,113.09865
4.0,319,116.883561
3.0,253,119.777526
2.0,200,121.999175
1.0,157,123.776696
2.0,202,126.032393
8.0,496,131.939039
5.0,350,136.035256
3.0,249,138.848293
6.0,419,143.62506
5.0,347,147.575495
3.0,230,150.252349
0.0,129,151.666369
23.0,751,160.253632
7.0,368,164.367168
11.0,481,169.75253
4.0,264,172.625774
3.0,250,175.391651
10.0,565,181.728928
10.0,494,187.233631
9.0,495,192.720195
9.0,503,198.270729
15.0,585,204.713218
20.0,703,212.575341
8.0,433,217.332673
9.0,459,222.303138
16.0,574,228.590294
11.0,544,234.638758
8.0,423,239.342799
20.0,744,247.540709
8.0,448,252.428543
8.0,475,257.622499
30.0,579,264.070836
5.0,353,267.94326
17.0,770,276.410919
15.0,686,283.985035
12.0,613,290.705585
22.0,722,298.628858
21.0,763,306.952742
13.0,481,312.164703
40.0,1097,323.978932
27.0,865,333.409823
30.0,968,344.008158
8.0,443,348.779907
30.0,978,359.537553
25.0,536,365.260862
20.0,756,373.405163
25.0,876,382.850934
32.0,981,393.459037
22.0,773,401.813638
51.0,1026,412.931511
45.0,1096,424.668912
12.0,511,430.11745
38.0,1100,441.955297
25.0,1012,452.792927
47.0,1435,468.202397
70.0,1347,482.662636
26.0,1033,493.779955
26.0,842,502.815255
17.0,726,510.588866
57.0,1222,523.715619
86.0,1417,539.016327
