#{"t_start": 1640972115.0147438, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.851414
4.0,284,7.533128
4.0,279,10.37058
3.0,250,13.389873
0.0,129,14.817314
1.0,155,16.678437
1.0,175,18.720014
1.0,153,20.571072
1.0,170,22.545675
2.0,202,24.943577
0.0,127,26.358297
1.0,175,28.451444
2.0,201,30.825851
6.0,380,35.61074
4.0,299,39.04822
5.0,331,43.108285
0.0,127,44.491405
10.0,451,49.931947
0.0,127,51.339483
5.0,350,55.505059
0.0,129,56.948262
2.0,202,59.292929
9.0,404,64.078629
2.0,205,66.499494
2.0,202,68.872376
0.0,127,70.285832
6.0,397,74.987183
1.0,173,76.867778
0.0,127,78.261517
5.0,352,82.343842
0.0,127,83.755213
0.0,127,85.143783
9.0,380,89.638041
2.0,200,91.98687
3.0,251,94.935142
1.0,176,96.957859
2.0,202,99.195923
1.0,173,101.14404
13.0,459,106.543572
10.0,452,111.922811
1.0,176,114.015581
1.0,178,115.989706
3.0,253,118.893374
5.0,325,122.681555
1.0,157,124.43243
5.0,372,128.841498
5.0,347,132.819465
4.0,297,136.313597
6.0,378,140.660438
6.0,376,144.915606
11.0,479,150.574219
4.0,304,154.009131
5.0,347,157.86868
1.0,157,159.562402
3.0,273,162.5995
11.0,492,168.048617
4.0,247,170.813524
11.0,589,177.394762
8.0,416,182.040018
11.0,464,187.182014
12.0,525,193.028558
8.0,489,198.430486
14.0,541,204.366077
12.0,565,210.624875
12.0,323,214.184126
8.0,475,219.367932
15.0,473,224.526129
16.0,725,232.513372
6.0,305,235.874255
4.0,266,238.77041
16.0,610,245.448291
13.0,651,252.661436
8.0,447,257.503314
12.0,489,262.942311
8.0,297,266.212195
18.0,766,274.636721
14.0,556,280.755374
16.0,560,286.8865
33.0,995,297.853306
22.0,658,305.02454
24.0,725,312.975803
19.0,569,319.004577
14.0,577,325.171273
27.0,930,335.353004
18.0,643,342.311967
17.0,734,350.357377
27.0,790,358.923453
19.0,730,366.828742
25.0,887,376.414936
28.0,647,383.359405
23.0,669,390.540633
17.0,682,397.835999
21.0,700,405.336707
28.0,843,414.500379
35.0,589,420.811955
29.0,855,429.918996
33.0,857,439.13812
38.0,1094,450.862159
30.0,886,460.337585
43.0,1209,473.280071
53.0,1219,486.383996
35.0,1095,498.223747
22.0,671,505.303685
48.0,1094,517.04105
46.0,1038,528.261023
34.0,989,538.839689
13.0,561,544.752309
39.0,752,552.825499
