#{"t_start": 1641047317.2529302, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,198,5.673219
1.0,155,7.195834
2.0,202,9.294443
0.0,127,10.682639
5.0,331,14.831069
0.0,129,16.419717
1.0,157,18.330512
0.0,129,19.873401
1.0,155,21.761823
0.0,125,23.260754
0.0,127,24.767826
5.0,350,29.187757
2.0,198,31.611932
2.0,200,34.111859
1.0,157,35.983617
2.0,202,38.503268
7.0,427,43.899435
5.0,350,48.286385
0.0,125,49.692317
0.0,129,51.255601
1.0,157,53.197399
2.0,202,55.778521
0.0,129,57.297555
6.0,378,62.037194
0.0,125,63.486587
0.0,129,64.992971
0.0,129,66.49651
0.0,127,67.986057
0.0,129,69.555588
0.0,127,71.056228
6.0,397,76.026253
2.0,202,78.435988
0.0,125,79.854142
4.0,299,83.704119
5.0,345,87.965195
2.0,205,90.500927
4.0,299,94.195299
4.0,299,97.889069
1.0,175,100.022647
5.0,350,104.377334
1.0,173,106.405447
3.0,248,109.493535
5.0,350,113.809148
2.0,222,116.527224
5.0,350,120.935507
3.0,255,124.029941
2.0,185,126.319536
0.0,129,127.849026
1.0,155,129.691921
0.0,127,131.153459
4.0,319,135.052382
4.0,277,138.436877
6.0,343,142.663693
3.0,253,145.785594
2.0,202,148.169592
7.0,450,153.56272
5.0,355,157.986519
0.0,129,159.46349
4.0,299,163.082504
3.0,236,165.877636
11.0,494,171.771932
6.0,399,176.624533
7.0,385,181.286131
4.0,321,185.039733
7.0,436,190.272161
10.0,423,195.312781
4.0,260,198.314185
5.0,356,202.448219
11.0,271,205.595496
15.0,605,212.777397
16.0,647,220.511719
10.0,541,226.945614
9.0,475,232.555346
19.0,710,240.923723
19.0,426,245.941876
17.0,686,254.026221
16.0,446,259.23095
8.0,458,264.532408
14.0,423,269.497781
16.0,483,275.125859
7.0,357,279.262489
5.0,276,282.421252
8.0,426,287.31605
12.0,481,292.934174
11.0,392,297.467813
10.0,531,303.692381
13.0,577,310.390063
21.0,813,319.857896
15.0,560,326.220846
10.0,497,332.033372
10.0,494,337.804695
21.0,491,343.51707
17.0,441,348.571516
6.0,305,352.034721
14.0,348,355.956964
20.0,708,364.097369
31.0,657,371.671041
19.0,833,381.396803
21.0,509,387.290221
29.0,923,397.883078
24.0,787,407.017929
34.0,1032,419.050249
25.0,489,424.617525
28.0,661,432.246278
21.0,405,436.872018
25.0,882,447.05387
50.0,1183,460.68637
46.0,1076,473.193216
51.0,1100,485.638227
33.0,919,496.160207
56.0,1398,512.436941
19.0,655,519.93343
29.0,805,529.191184
22.0,807,538.439564
45.0,1145,551.570679
26.0,934,562.283452
71.0,1424,578.66784
33.0,1024,590.426531
42.0,1201,604.270716
35.0,974,615.390055
54.0,994,626.789239
46.0,1329,641.902717
74.0,1435,658.392441
37.0,861,668.066269
28.0,778,677.036021
70.0,1463,693.710361
25.0,762,702.386768
42.0,1012,713.896221
93.0,1654,732.830497
57.0,1243,746.924583
111.0,1383,762.764652
55.0,1420,778.878285
65.0,1244,793.025995
42.0,860,802.765729
88.0,1344,818.085414
105.0,1551,835.677631
78.0,1323,850.737877
89.0,1444,867.220254
27.0,766,875.851241
69.0,1281,890.50434
87.0,1529,907.995832
83.0,1251,922.279793
61.0,1297,937.155332
85.0,1283,951.805654
95.0,1596,970.111786
54.0,727,978.320188
75.0,1196,991.999989
44.0,924,1002.442759
50.0,845,1012.000942
99.0,1424,1028.321392
69.0,1244,1042.36552
136.0,1540,1060.036831
125.0,1513,1077.24523
128.0,1652,1096.034097
100.0,1583,1114.139774
33.0,898,1124.367808
54.0,1220,1138.218677
319.0,1519,1155.496849
97.0,1374,1171.17328
125.0,1532,1188.626747
87.0,1465,1205.345234
28.0,562,1211.639395
66.0,937,1222.279198
102.0,1241,1236.454949
145.0,1840,1257.337161
116.0,1499,1274.280557
83.0,1368,1289.821713
102.0,1421,1306.096786
69.0,928,1316.549944
176.0,1857,1337.684547
311.0,1678,1356.715256
79.0,1066,1368.774582
88.0,1124,1381.651008
206.0,1551,1399.27749
15.0,640,1406.763845
0.0,129,1408.412302
32.0,822,1418.049077
102.0,1379,1433.688332
242.0,1991,1456.288529
3.0,248,1459.387931
0.0,129,1460.875262
248.0,1482,1477.59606
181.0,1778,1497.895122
280.0,1817,1518.63383
141.0,1620,1537.098806
157.0,1570,1554.923923
199.0,1641,1573.622714
245.0,1784,1593.896032
307.0,1479,1610.622472
188.0,1434,1626.912147
241.0,1833,1647.925096
91.0,1199,1661.36701
0.0,129,1662.947776
0.0,129,1664.505007
208.0,1218,1678.537037
38.0,741,1686.852783
97.0,1249,1700.969139
297.0,1734,1720.664175
295.0,1412,1736.658144
127.0,1511,1753.800709
113.0,1482,1770.555592
371.0,2171,1795.161772
175.0,1696,1814.403662
100.0,1341,1829.585754
161.0,1750,1849.397871
168.0,1563,1867.113572
302.0,2009,1889.863572
337.0,1681,1908.991479
175.0,1957,1931.108581
294.0,1716,1950.625198
89.0,1331,1965.676108
298.0,2138,1989.833272
247.0,1582,2007.835188
408.0,2832,2039.939852
289.0,1821,2060.526619
339.0,2351,2087.111981
341.0,2194,2111.923557
380.0,2159,2136.367589
371.0,1809,2156.798636
34.0,714,2164.80717
332.0,1823,2185.480099
226.0,1717,2204.901945
122.0,1657,2223.773541
339.0,1930,2245.611601
410.0,2139,2269.927137
356.0,2022,2292.886159
393.0,2291,2319.021594
367.0,2003,2341.691514
337.0,2070,2365.07627
405.0,2443,2392.776554
86.0,1059,2404.569724
365.0,1665,2423.439364
378.0,1653,2442.080918
48.0,867,2451.682098
403.0,2352,2478.243077
138.0,1352,2493.493616
304.0,1331,2508.669056
360.0,1873,2529.846722
382.0,2165,2554.303191
296.0,1559,2571.957724
18.0,727,2580.271806
267.0,1677,2599.318629
173.0,1732,2618.906437
375.0,1849,2639.698195
156.0,1565,2657.268143
388.0,2251,2682.757209
410.0,2282,2708.530679
117.0,1428,2724.750614
375.0,2771,2755.968181
180.0,1855,2776.82215
332.0,1423,2792.925419
326.0,1965,2815.215934
384.0,2217,2840.292603
358.0,2419,2867.621788
143.0,1399,2883.400247
283.0,2014,2906.120382
425.0,3471,2945.289266
413.0,1811,2967.720225
354.0,1422,2983.952885
