#{"t_start": 1641047317.2578878, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,176,5.440674
3.0,263,8.144059
4.0,301,11.628441
0.0,129,13.099287
2.0,183,15.381253
1.0,170,17.489423
0.0,129,19.054444
2.0,223,21.832387
1.0,155,23.746054
4.0,283,27.277786
1.0,171,29.365131
2.0,202,31.814425
0.0,129,33.356236
4.0,297,37.163298
0.0,127,38.63399
5.0,350,42.981932
0.0,127,44.52836
3.0,250,47.622192
5.0,350,52.027643
1.0,157,53.939639
0.0,125,55.441988
0.0,129,57.008562
14.0,510,63.485324
5.0,350,67.883937
0.0,129,69.438797
11.0,480,75.524975
11.0,502,81.908797
2.0,202,84.402622
2.0,206,86.903546
0.0,129,88.395938
1.0,155,90.218787
2.0,202,92.667318
0.0,129,94.166055
0.0,127,95.644417
1.0,177,97.759845
0.0,129,99.270173
2.0,205,101.799596
2.0,202,104.215021
2.0,186,106.403531
2.0,200,108.885088
2.0,226,111.637895
5.0,344,115.83546
0.0,125,117.358887
0.0,127,118.841143
1.0,178,120.972336
8.0,437,126.502761
4.0,278,129.94727
9.0,403,134.941895
3.0,216,137.51914
8.0,486,143.663238
7.0,408,148.669755
5.0,349,152.777727
2.0,187,155.018243
2.0,207,157.531875
3.0,257,160.643739
4.0,251,163.640846
10.0,435,168.860196
6.0,362,173.189254
3.0,218,175.749716
2.0,186,177.924281
3.0,230,180.617543
10.0,472,186.28076
10.0,396,191.002994
9.0,331,194.90319
6.0,390,199.494673
13.0,527,205.736917
7.0,408,210.508324
8.0,383,215.060071
9.0,403,219.729254
15.0,615,227.101635
16.0,693,235.299979
12.0,302,238.849413
9.0,479,244.451299
11.0,583,251.273087
18.0,582,258.131757
15.0,630,265.521248
19.0,628,272.917445
21.0,746,281.719563
17.0,621,288.985687
16.0,643,296.566411
13.0,481,302.125309
15.0,642,309.6347
27.0,1091,322.389693
11.0,574,329.007643
24.0,518,335.053097
13.0,418,339.932393
14.0,542,346.169547
28.0,782,355.279807
26.0,596,362.126632
28.0,653,369.668468
28.0,786,378.746065
32.0,616,385.88269
45.0,1127,398.960411
22.0,538,405.088413
19.0,583,411.826816
25.0,926,422.61491
44.0,812,431.988267
19.0,685,439.941257
52.0,1258,454.425925
15.0,562,460.883034
34.0,880,471.084465
33.0,792,480.066298
38.0,1163,493.32299
28.0,821,502.743412
14.0,512,508.557033
13.0,428,513.501592
13.0,626,520.619347
60.0,1040,532.631165
18.0,636,539.877462
26.0,767,548.593003
54.0,750,557.167223
36.0,1033,569.106388
16.0,666,576.66883
18.0,650,584.020718
47.0,1169,597.37077
19.0,613,604.471294
47.0,888,614.560791
44.0,869,624.432647
66.0,1137,637.438767
66.0,1143,650.445809
86.0,1391,666.326968
34.0,1142,679.51782
45.0,820,688.753591
39.0,1041,700.685425
77.0,1281,715.32764
22.0,742,723.736978
91.0,1387,739.560463
104.0,1445,755.959246
71.0,1354,771.408724
56.0,1055,783.302449
60.0,1115,795.997955
79.0,1452,812.594996
87.0,1560,830.309567
75.0,1296,845.019797
44.0,1149,858.117497
84.0,1163,871.36873
65.0,1048,883.231246
61.0,1200,896.884665
95.0,1220,910.895091
92.0,1183,924.442902
74.0,1171,937.828889
31.0,853,947.49372
103.0,1105,960.126284
94.0,1431,976.455769
64.0,1343,991.821765
183.0,1461,1008.470985
93.0,1483,1025.353631
108.0,1543,1043.00803
34.0,985,1054.229333
186.0,2017,1077.244385
243.0,934,1087.774422
99.0,1204,1101.497011
202.0,1924,1123.545348
200.0,1682,1142.687489
56.0,1126,1155.456838
66.0,1162,1168.708436
47.0,1339,1183.93857
72.0,1392,1199.820953
285.0,1818,1220.578202
69.0,1368,1236.203971
54.0,1051,1248.021888
70.0,1547,1265.555711
99.0,1490,1282.489079
36.0,854,1292.172652
353.0,1797,1312.702688
78.0,1339,1327.928147
62.0,1152,1340.913446
98.0,1423,1357.055605
204.0,1640,1375.777353
109.0,1338,1391.091915
114.0,1318,1406.172286
0.0,129,1407.778619
13.0,582,1414.75903
93.0,1359,1430.225406
361.0,2152,1454.636704
6.0,304,1458.264543
0.0,129,1459.808116
58.0,1297,1474.471525
174.0,1356,1489.8601
86.0,1365,1505.440083
344.0,1681,1524.585949
99.0,1665,1543.580015
90.0,1397,1559.529441
203.0,1114,1572.028704
100.0,1513,1589.238464
233.0,1551,1606.822778
89.0,1360,1622.276117
51.0,1254,1636.605585
194.0,1669,1655.495116
18.0,638,1662.847958
51.0,1236,1677.193079
64.0,1054,1689.241653
280.0,1576,1707.130109
60.0,1162,1720.231801
37.0,791,1729.101551
118.0,1627,1747.574396
262.0,1825,1768.316665
158.0,1427,1784.456798
127.0,1469,1801.054353
175.0,1334,1816.135404
231.0,1777,1836.247073
144.0,1533,1853.629831
197.0,1597,1871.738867
371.0,1858,1892.779674
369.0,1373,1908.373107
277.0,1660,1927.063809
267.0,1997,1949.793499
215.0,2003,1972.494033
304.0,2046,1995.597291
54.0,892,2005.770879
287.0,1847,2026.683694
337.0,1906,2048.230904
160.0,1874,2069.452592
353.0,2200,2094.337043
276.0,2032,2117.25149
262.0,1619,2135.532658
302.0,1741,2155.204982
366.0,2092,2178.90383
367.0,2230,2204.237265
30.0,792,2213.216975
268.0,1543,2230.713913
284.0,1966,2252.940517
362.0,1772,2273.108025
373.0,1710,2292.421736
342.0,1849,2313.529382
360.0,2270,2339.250621
375.0,1971,2361.530106
373.0,2093,2385.185493
408.0,2059,2408.467218
275.0,2461,2436.309032
388.0,1684,2455.288858
329.0,2423,2482.652647
342.0,1469,2499.300442
331.0,1758,2519.274759
385.0,2297,2545.247165
317.0,1865,2566.385039
158.0,1605,2584.726556
400.0,1990,2607.318498
353.0,2018,2630.137942
364.0,2087,2653.529645
358.0,2078,2677.038038
381.0,1854,2697.942957
69.0,1139,2710.788817
188.0,1669,2729.65541
328.0,1723,2748.999794
409.0,2931,2782.157209
343.0,1718,2801.631785
397.0,1932,2823.498598
361.0,2162,2847.937395
360.0,1959,2870.01788
345.0,2061,2893.25413
383.0,3196,2929.343854
398.0,4775,2985.739301
