#{"t_start": 1641047317.2529302, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,4.876564
0.0,129,6.163687
6.0,381,10.247197
3.0,272,13.603445
1.0,175,15.834013
0.0,129,17.360996
1.0,172,19.498676
4.0,319,23.605107
0.0,129,25.127105
4.0,294,28.770316
0.0,129,30.311006
3.0,248,33.417912
3.0,248,36.553195
4.0,297,40.317262
10.0,431,45.772794
9.0,404,50.823528
0.0,127,52.374574
3.0,248,55.523504
0.0,127,57.046062
5.0,372,61.674556
3.0,248,64.780717
0.0,129,66.288048
9.0,404,71.48813
0.0,129,73.021634
2.0,198,75.337188
0.0,129,76.82541
6.0,377,81.535609
1.0,158,83.497497
3.0,228,86.248503
5.0,350,90.682301
0.0,125,92.0922
1.0,175,94.22087
6.0,419,99.504781
0.0,125,100.940594
1.0,175,103.07125
3.0,226,105.742228
1.0,175,107.851406
0.0,123,109.295532
4.0,279,112.697691
4.0,299,116.385022
0.0,129,117.924023
2.0,206,120.467733
3.0,251,123.500128
1.0,157,125.370532
2.0,201,127.891072
5.0,350,132.212518
6.0,399,137.159144
14.0,447,142.733856
6.0,419,147.945502
9.0,404,152.731936
5.0,350,157.099149
6.0,328,161.129134
5.0,350,165.334095
5.0,308,168.999771
1.0,155,170.70836
4.0,283,174.060654
1.0,155,175.871202
4.0,246,178.852916
5.0,309,182.498783
13.0,577,189.425883
6.0,378,193.888151
5.0,294,197.33856
8.0,497,203.168088
6.0,404,207.933871
9.0,331,211.815893
14.0,558,218.393445
16.0,642,226.108006
14.0,530,232.352424
9.0,459,237.745561
11.0,558,244.321262
12.0,488,250.072922
24.0,719,258.552157
14.0,593,265.464038
14.0,551,271.916586
11.0,402,276.643313
13.0,634,284.095948
18.0,612,291.231756
8.0,412,296.006475
11.0,539,302.292337
26.0,670,310.135886
16.0,663,317.863068
20.0,826,327.374335
14.0,612,334.566796
8.0,354,338.638954
16.0,429,343.629703
22.0,698,351.731772
25.0,826,361.271155
14.0,539,367.455572
21.0,631,374.767982
30.0,843,384.526582
26.0,989,396.004049
15.0,683,403.851981
45.0,1278,418.805393
36.0,633,426.071146
22.0,535,432.209212
58.0,1068,444.637808
33.0,782,453.56577
39.0,1101,466.331005
24.0,660,473.955456
30.0,932,484.40621
30.0,663,491.964391
64.0,1336,507.388603
30.0,811,516.823309
43.0,894,527.059218
29.0,724,535.402517
60.0,1109,548.070503
43.0,1252,562.55417
42.0,1016,574.196055
29.0,878,584.242348
47.0,1074,596.458263
33.0,976,607.847661
30.0,463,612.933045
56.0,1290,627.788924
47.0,1141,640.732715
31.0,707,648.686306
81.0,1138,661.771927
37.0,1041,673.614475
58.0,1106,686.206504
60.0,1125,699.106028
71.0,1467,715.94587
47.0,799,724.965647
78.0,1652,743.836391
41.0,1120,756.524642
51.0,1358,772.018883
77.0,1350,787.308709
114.0,1502,804.490512
104.0,1434,820.819447
105.0,1305,835.574541
83.0,1444,852.065369
84.0,1388,867.927171
32.0,998,879.161043
54.0,1104,891.838522
42.0,880,901.838348
67.0,934,912.485429
67.0,1327,927.661187
43.0,1027,939.415972
64.0,1418,955.580048
75.0,1611,974.027934
80.0,1343,989.375823
35.0,751,997.836616
91.0,1319,1012.895908
59.0,1320,1027.956502
86.0,1408,1044.011781
63.0,1426,1060.303158
127.0,1546,1077.890033
81.0,1066,1089.924385
90.0,1133,1102.827712
138.0,1462,1119.570711
103.0,1662,1138.500073
57.0,972,1149.427519
122.0,1536,1167.019061
49.0,1000,1178.34799
125.0,1509,1195.57172
109.0,1720,1215.176074
139.0,1480,1232.045733
189.0,1677,1251.175224
69.0,1315,1266.009824
186.0,1504,1283.092714
119.0,1665,1302.106607
41.0,908,1312.406754
102.0,1460,1329.037549
58.0,1210,1342.690206
122.0,1512,1359.864125
83.0,1142,1372.785276
299.0,1126,1385.710101
99.0,1287,1400.258425
16.0,576,1407.073559
0.0,129,1408.703588
104.0,1485,1425.854348
172.0,1800,1446.335919
39.0,979,1457.474358
0.0,129,1459.037891
37.0,833,1468.490413
131.0,1490,1485.445045
233.0,1936,1507.560776
227.0,1514,1524.849168
81.0,1049,1536.740855
115.0,1474,1553.492761
197.0,1753,1573.447476
319.0,1641,1592.072194
153.0,1613,1610.338645
230.0,2056,1633.86627
253.0,1747,1653.73551
25.0,788,1662.74565
0.0,129,1664.319764
39.0,1131,1677.23679
12.0,521,1683.220046
142.0,1462,1699.735135
105.0,1571,1717.557195
234.0,1600,1735.738774
187.0,1847,1756.728399
189.0,1638,1775.262322
410.0,2443,1802.998815
247.0,1548,1820.512979
188.0,1680,1839.533257
70.0,1278,1854.036113
56.0,1075,1866.106946
307.0,1706,1885.431243
168.0,1450,1901.804681
294.0,1652,1920.494881
193.0,957,1931.31096
205.0,1803,1951.829238
350.0,1550,1969.350031
256.0,1302,1984.014797
124.0,1744,2003.830734
278.0,1780,2023.942974
350.0,1978,2046.336184
392.0,2372,2073.204844
202.0,1810,2093.664233
420.0,2124,2117.654129
154.0,1479,2134.335149
371.0,1625,2152.702859
184.0,1917,2174.335596
313.0,1815,2194.911939
84.0,1337,2210.038175
61.0,1331,2225.230842
344.0,2306,2251.360955
71.0,1184,2264.77066
270.0,1536,2282.131391
276.0,1592,2300.284741
174.0,1309,2315.096786
372.0,1700,2334.321784
283.0,4268,2382.720053
311.0,2022,2405.585627
337.0,1581,2423.483238
73.0,1222,2437.180684
317.0,1817,2457.68411
300.0,1915,2479.236366
360.0,1570,2496.997806
370.0,1903,2518.656596
245.0,1920,2540.355873
380.0,1948,2562.377029
229.0,1541,2579.884062
311.0,1912,2601.740104
362.0,1972,2624.038501
356.0,1867,2644.975124
265.0,1933,2666.76409
337.0,1980,2689.154778
128.0,1743,2708.819126
391.0,2388,2735.868103
243.0,1270,2750.082684
337.0,1747,2769.718372
227.0,1832,2790.452138
129.0,1327,2805.481744
213.0,1951,2827.584017
377.0,1295,2842.151794
179.0,1748,2861.867629
79.0,1411,2877.745193
270.0,1535,2894.980006
265.0,1649,2913.573916
358.0,1859,2934.481471
392.0,3147,2972.198184
