#{"t_start": 1641013625.769661, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1191,2339.964635
-21.0,997,2350.315429
-20.0,997,2360.736389
-21.0,968,2370.818006
-16.0,1233,2383.71154
-21.0,848,2392.489707
-21.0,1015,2403.064034
-21.0,878,2412.236202
-21.0,761,2420.191325
-20.0,837,2428.937698
-20.0,900,2438.389174
-19.0,996,2448.795436
-20.0,934,2458.502232
-20.0,864,2467.497036
-20.0,980,2477.63374
-21.0,764,2485.589079
-20.0,1050,2496.553345
-21.0,809,2504.973558
-20.0,1150,2516.957545
-20.0,1009,2527.469865
-21.0,899,2536.86314
-19.0,1110,2548.417602
-18.0,1072,2559.554192
-21.0,884,2568.780358
-20.0,836,2577.39954
-21.0,870,2586.40196
-21.0,1032,2597.183897
-20.0,867,2606.240456
-20.0,896,2615.509884
-21.0,825,2624.057522
-21.0,903,2633.524781
-21.0,851,2642.405774
-21.0,818,2650.857808
-20.0,834,2659.53589
-21.0,824,2668.127429
-20.0,917,2677.647786
-21.0,972,2687.698746
-19.0,987,2697.915628
-21.0,883,2707.071465
-20.0,1086,2718.313375
-21.0,757,2726.178234
-21.0,898,2735.545959
-21.0,907,2744.945759
-20.0,974,2755.105521
-21.0,946,2764.986287
-21.0,760,2772.951536
-19.0,953,2782.901691
-21.0,865,2791.914911
-21.0,791,2800.162598
-21.0,760,2808.08768
-21.0,760,2815.990039
-21.0,881,2825.162058
-20.0,864,2834.153829
-21.0,819,2842.670839
-21.0,822,2851.306659
-20.0,917,2860.844085
-20.0,1095,2872.267403
-21.0,760,2880.183148
-18.0,1054,2891.13837
-20.0,837,2899.849905
-20.0,961,2909.830173
-21.0,814,2918.377024
-21.0,809,2926.821777
-21.0,764,2934.738904
-19.0,945,2944.581225
-20.0,1007,2955.038004
-18.0,1068,2966.185398
-20.0,1094,2977.568884
-20.0,945,2987.362166
-21.0,847,2996.14739
-21.0,762,3004.095184
-21.0,758,3012.083399
-21.0,897,3021.388066
-20.0,947,3031.301406
-21.0,788,3039.518109
-19.0,992,3049.90141
-21.0,1023,3060.509029
-20.0,1149,3072.461094
-20.0,985,3082.677678
-20.0,983,3092.82882
-21.0,988,3103.134792
-21.0,827,3111.804896
-21.0,910,3121.249522
-21.0,847,3130.078923
-19.0,1134,3141.85609
-21.0,995,3152.204896
-21.0,820,3160.820458
-21.0,763,3168.887099
-21.0,757,3176.69736
-20.0,916,3186.265205
-21.0,820,3194.891639
-20.0,895,3204.281392
-21.0,782,3212.476747
-21.0,908,3221.914256
-19.0,1232,3234.686024
-19.0,976,3244.87981
-20.0,939,3254.673705
-19.0,995,3265.041922
-21.0,833,3273.778685
-19.0,995,3284.183562
-19.0,964,3294.295469
-21.0,818,3302.727281
-21.0,969,3312.846871
-19.0,1316,3326.556683
-19.0,994,3336.861971
-21.0,818,3345.379631
-20.0,838,3354.100612
-21.0,879,3363.28305
-19.0,1030,3374.019355
-21.0,764,3381.979289
-20.0,1013,3392.499635
-19.0,936,3402.202157
-20.0,897,3411.419215
-20.0,1040,3422.374602
-21.0,823,3431.005757
-21.0,839,3439.648559
-20.0,902,3449.060268
-19.0,1165,3461.153114
-20.0,869,3470.186463
-21.0,880,3479.357653
-21.0,882,3488.529787
-21.0,841,3497.325464
-21.0,918,3506.893814
-19.0,1003,3517.318912
-19.0,1022,3527.946656
-21.0,887,3537.248926
-21.0,992,3547.5528
-20.0,1065,3558.618842
-21.0,910,3568.118093
-21.0,883,3577.285558
-19.0,948,3587.185525
-21.0,760,3595.036777
-21.0,848,3603.924119
-21.0,764,3611.843259
-21.0,818,3620.434486
-20.0,959,3630.427215
-21.0,848,3639.304165
-21.0,757,3647.220384
-20.0,839,3655.9576
-21.0,762,3663.896815
-20.0,915,3673.391778
-21.0,763,3681.269623
-21.0,791,3689.536316
-21.0,786,3697.801972
-21.0,790,3706.053378
-21.0,879,3715.170121
-21.0,928,3724.828621
-21.0,821,3733.402743
-20.0,983,3743.558203
-19.0,955,3753.457439
-20.0,838,3762.161557
-21.0,759,3770.051272
-21.0,785,3778.230439
-21.0,837,3786.958769
-21.0,758,3794.877899
-21.0,940,3804.63598
-21.0,757,3812.547137
-21.0,764,3820.484492
-21.0,850,3829.378398
-21.0,820,3837.881818
-20.0,866,3846.817947
-21.0,854,3855.672142
-20.0,957,3865.548376
-21.0,806,3873.926873
-21.0,1010,3884.47929
-21.0,759,3892.38896
-21.0,792,3900.685734
-21.0,778,3908.800742
-21.0,846,3917.595302
-20.0,883,3926.827415
-21.0,849,3935.676009
-21.0,851,3944.53213
-21.0,763,3952.522222
-21.0,874,3961.557367
-20.0,917,3971.075171
-20.0,877,3980.203971
-20.0,1063,3991.182332
-20.0,897,4000.429876
-20.0,922,4009.990291
-21.0,1049,4020.878716
-21.0,901,4030.230078
-20.0,898,4039.56916
-21.0,789,4047.756941
-21.0,777,4055.82611
-21.0,764,4063.728642
-20.0,850,4072.665112
-21.0,878,4081.789791
-20.0,957,4091.800783
-21.0,822,4100.386506
-21.0,824,4108.974267
-19.0,1087,4120.222406
-21.0,792,4128.569932
-20.0,925,4138.233509
-19.0,940,4148.000214
-18.0,1193,4160.408757
-21.0,820,4168.910678
-18.0,1032,4179.620123
-21.0,924,4189.280336
-20.0,955,4199.508305
-21.0,797,4207.804127
-20.0,978,4217.997691
-21.0,1292,4231.477977
-21.0,939,4241.26719
-20.0,1081,4252.549674
-19.0,1111,4264.075145
-20.0,961,4274.179051
-20.0,941,4283.497269
-21.0,789,4291.695772
-20.0,892,4301.014969
-18.0,1031,4311.787421
-20.0,835,4320.505058
-20.0,890,4329.820928
-20.0,901,4339.125058
-21.0,788,4347.270882
-21.0,818,4355.851927
-21.0,878,4365.026661
-20.0,1322,4378.892527
-19.0,988,4389.265718
-20.0,995,4399.566738
-20.0,897,4408.843123
-20.0,1099,4420.236216
-21.0,990,4430.595302
-21.0,870,4439.729103
-21.0,842,4448.515145
-20.0,956,4458.454797
-20.0,948,4468.334339
-20.0,837,4477.051991
-20.0,975,4487.15421
-18.0,1038,4497.890515
-21.0,852,4506.761848
-21.0,898,4516.176153
-19.0,976,4526.307345
-20.0,916,4535.786176
-18.0,1028,4546.472427
-20.0,1067,4557.533321
-21.0,911,4566.981565
-21.0,874,4576.06173
-21.0,1060,4587.050789
-19.0,991,4597.373999
-21.0,790,4605.589484
-21.0,881,4614.781294
-20.0,914,4624.30117
-19.0,990,4634.608783
-21.0,868,4643.681386
-21.0,864,4652.681195
-20.0,926,4662.370977
-20.0,989,4672.698563
-21.0,761,4680.589757
-21.0,763,4688.545317
-21.0,760,4696.496623
-21.0,851,4705.345623
-21.0,761,4713.288064
-21.0,817,4721.772896
-21.0,874,4730.888897
-21.0,761,4738.829654
-20.0,870,4747.902448
-21.0,907,4757.394998
-21.0,763,4765.386317
-21.0,970,4775.438002
-20.0,946,4785.374069
-21.0,759,4793.349888
-19.0,946,4803.28864
-21.0,758,4811.185239
-20.0,956,4821.172228
-20.0,870,4830.264663
-18.0,990,4840.535531
-21.0,763,4848.500299
-19.0,1039,4859.385873
-20.0,917,4868.87727
-20.0,927,4878.552617
-20.0,842,4887.322207
-20.0,996,4897.661376
-21.0,865,4906.642122
-21.0,868,4915.646739
-20.0,902,4925.0659
-21.0,943,4934.868807
-21.0,822,4943.388265
-19.0,1086,4954.666843
-19.0,914,4964.275787
-21.0,759,4972.115396
-20.0,915,4981.659455
-20.0,902,4991.041681
-21.0,816,4999.534391
-21.0,822,5008.155863
-21.0,760,5016.051427
-20.0,895,5025.345477
-21.0,893,5034.676346
-20.0,1067,5045.742564
-19.0,1054,5056.732596
-21.0,867,5065.765403
-21.0,933,5075.501931
-21.0,790,5083.716918
-21.0,1001,5094.1659
-21.0,818,5102.60993
-20.0,989,5112.924887
-21.0,763,5120.842563
-21.0,789,5129.023252
-20.0,840,5137.7678
-21.0,818,5146.219501
-19.0,1205,5158.792446
-19.0,981,5168.899903
-21.0,909,5178.356958
-20.0,1034,5189.094038
-21.0,826,5197.65498
-20.0,1061,5208.694535
-20.0,962,5218.691659
-21.0,984,5228.914213
-21.0,822,5237.469901
-20.0,931,5247.111228
-21.0,825,5255.697182
-21.0,831,5264.262623
-20.0,835,5272.957315
-21.0,758,5280.787163
-21.0,823,5288.531292
-21.0,867,5297.58305
-21.0,847,5306.330012
-20.0,952,5316.25353
-20.0,885,5325.43071
-20.0,935,5335.250196
-20.0,1024,5345.856411
-21.0,877,5354.972246
-20.0,999,5365.42381
-17.0,1170,5377.629528
-21.0,876,5386.754734
-20.0,881,5395.929956
-17.0,1247,5409.052094
-21.0,853,5417.946858
-20.0,961,5427.908921
-19.0,1224,5440.695434
-21.0,758,5448.680908
-21.0,760,5456.560878
-21.0,881,5465.796556
-19.0,1038,5476.63764
