#{"t_start": 1640972137.5707006, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1067,12.627777
-19.0,993,23.146634
-21.0,779,31.430947
-21.0,761,39.586373
-21.0,823,48.398275
-20.0,945,58.607074
-21.0,779,67.026897
-21.0,849,76.043802
-21.0,838,85.042171
-20.0,870,94.391536
-21.0,762,102.655391
-21.0,762,110.817512
-21.0,764,119.03764
-21.0,822,127.805268
-19.0,974,138.329419
-21.0,848,147.497793
-21.0,896,157.109169
-21.0,818,165.935032
-21.0,908,175.781996
-21.0,807,184.390924
-21.0,938,194.488187
-21.0,1024,205.612527
-20.0,837,214.534478
-21.0,819,223.36722
-21.0,876,232.781333
-21.0,893,242.432298
-21.0,869,251.832542
-21.0,883,261.327481
-19.0,977,271.854955
-20.0,835,280.782616
-20.0,1073,292.318646
-21.0,882,301.858427
-19.0,980,312.359233
-21.0,940,322.475486
-19.0,1149,334.825053
-21.0,881,344.233902
-20.0,1047,355.472117
-20.0,974,365.953542
-18.0,1076,377.557244
-20.0,868,386.846973
-21.0,819,395.707133
-21.0,958,405.954062
-19.0,1032,417.091489
-20.0,960,427.442886
-20.0,1018,438.401685
-20.0,1155,450.768742
-20.0,1046,462.011584
-20.0,926,472.020862
-19.0,962,482.3612
-20.0,1152,494.734679
-20.0,1034,505.807886
-20.0,1006,516.655767
-19.0,974,527.128458
