#{"t_start": 1640972137.563919, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,936,11.225013
-21.0,789,19.552694
-21.0,788,27.93987
-21.0,846,36.959486
-21.0,851,46.107668
-21.0,850,55.28103
-21.0,866,64.618995
-19.0,1070,76.052864
-21.0,850,85.185533
-19.0,1019,96.169149
-21.0,846,105.276825
-21.0,759,113.411307
-21.0,841,122.451834
-21.0,881,131.931372
-21.0,1003,142.704118
-20.0,866,152.03984
-20.0,836,161.065592
-20.0,984,171.689014
-21.0,817,180.522853
-21.0,905,190.21388
-21.0,821,199.087177
-21.0,776,207.484935
-21.0,883,216.942917
-21.0,820,225.799769
-19.0,1016,236.695568
-18.0,1188,249.504484
-21.0,821,258.376647
-21.0,951,268.602162
-21.0,905,278.32583
-20.0,956,288.598275
-20.0,935,298.677905
-21.0,936,308.755014
-21.0,818,317.542679
-21.0,903,327.232962
-21.0,879,336.662816
-21.0,777,344.963519
-19.0,952,355.168969
-19.0,990,365.817441
-21.0,885,375.367968
-21.0,880,384.798928
-21.0,906,394.571279
-19.0,1123,406.649578
-20.0,986,417.282055
-21.0,907,427.046991
-21.0,968,437.419306
-20.0,835,446.365434
-21.0,969,456.810876
-20.0,1155,469.252604
-18.0,1189,482.053192
-18.0,1201,494.96367
-20.0,1119,506.946939
-16.0,1401,522.070741
