#{"t_start": 1641013625.7589643, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,883,10.634239
-20.0,883,19.754812
-20.0,944,29.545658
-20.0,905,38.883594
-20.0,927,48.573681
-20.0,897,57.895912
-20.0,911,67.25024
-20.0,963,77.252742
-20.0,882,86.504327
-20.0,870,95.507638
-20.0,915,104.999009
-18.0,1091,116.283545
-21.0,913,125.731684
-21.0,907,135.201726
-21.0,763,143.132545
-20.0,898,152.431119
-18.0,1225,165.149254
-21.0,810,173.571988
-21.0,841,182.244111
-18.0,1319,195.90421
-21.0,864,204.870839
-21.0,929,214.48434
-21.0,879,223.619211
-21.0,822,232.103592
-21.0,819,240.524958
-21.0,782,248.600385
-20.0,838,257.284988
-21.0,868,266.253314
-20.0,837,274.908156
-21.0,780,282.973217
-19.0,1128,294.643069
-21.0,939,304.367828
-21.0,987,314.604405
-21.0,1179,326.760376
-21.0,776,334.823342
-21.0,886,343.99033
-21.0,957,353.959088
-21.0,870,362.932978
-20.0,1030,373.58606
-21.0,881,382.638326
-19.0,991,392.858344
-20.0,897,402.16348
-20.0,919,411.712728
-21.0,973,421.743881
-21.0,763,429.704552
-21.0,777,437.804167
-21.0,762,445.682919
-20.0,1005,456.065476
-21.0,761,463.962478
-21.0,762,471.877267
-21.0,787,480.061145
-20.0,916,489.615926
-21.0,847,498.409804
-19.0,1048,509.351031
-20.0,935,519.036492
-21.0,810,527.429283
-19.0,1012,537.946017
-20.0,835,546.562287
-19.0,1054,557.483285
-19.0,1095,568.820052
-21.0,883,577.931166
-20.0,1023,588.534235
-21.0,823,597.03695
-20.0,961,607.057504
-20.0,920,616.625838
-21.0,759,624.508253
-21.0,760,632.451841
-20.0,900,641.86304
-21.0,804,650.177396
-20.0,1053,661.075874
-19.0,1201,673.574009
-21.0,825,682.098246
-21.0,789,690.268219
-20.0,1017,700.809367
-20.0,956,710.732936
-21.0,878,719.821453
-20.0,965,729.820932
-21.0,757,737.699886
-21.0,763,745.609999
-20.0,876,754.664955
-20.0,952,764.500583
-19.0,978,774.727948
-19.0,1039,785.521478
-21.0,818,793.951444
-21.0,1030,804.604741
-19.0,913,814.077905
-21.0,855,822.953922
-20.0,962,832.979428
-20.0,882,842.123648
-21.0,938,851.859256
-20.0,836,860.553983
-17.0,1131,872.35503
-20.0,923,881.973533
-19.0,1020,892.552792
-21.0,819,901.076217
-20.0,963,911.087284
-21.0,822,919.62435
-21.0,810,928.091696
-19.0,1187,940.363626
-20.0,918,949.915365
-21.0,884,959.129864
-18.0,1323,972.79781
-21.0,849,981.700822
-21.0,757,989.624901
-21.0,876,998.668643
-21.0,759,1006.572871
-21.0,881,1015.795161
-18.0,1034,1026.50083
-21.0,850,1035.309318
