#{"t_start": 1640972137.5662305, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1140,13.42144
-21.0,866,22.565558
-19.0,992,33.14616
-21.0,758,41.302679
-20.0,895,50.903942
-21.0,848,60.083064
-20.0,990,70.686666
-19.0,1022,81.656641
-21.0,760,89.814508
-21.0,759,97.965207
-19.0,933,107.966534
-21.0,762,116.135064
-21.0,758,124.259192
-21.0,825,133.176029
-20.0,962,143.510745
-21.0,937,153.620466
-20.0,837,162.665515
-20.0,839,171.727475
-21.0,940,181.821942
-21.0,788,190.314045
-20.0,1163,202.851271
-20.0,891,212.38603
-21.0,907,222.135153
-21.0,966,232.562253
-21.0,791,241.128937
-21.0,963,251.540115
-20.0,898,261.192019
-19.0,927,271.152706
-20.0,985,281.756438
-18.0,1131,293.9344
-21.0,926,303.912175
-21.0,988,314.520528
-19.0,1071,326.057285
-21.0,911,335.827294
-21.0,998,346.485527
-20.0,873,355.866833
-20.0,914,365.628306
-19.0,1030,376.763649
-21.0,823,385.590721
-20.0,920,395.530435
-21.0,931,405.492721
-21.0,1047,416.794538
-19.0,1053,428.140285
-20.0,901,437.824105
-20.0,1048,449.093424
-21.0,1018,460.001688
-21.0,826,468.905849
-21.0,937,479.036282
-19.0,1056,490.389509
-20.0,1020,501.307075
-21.0,952,511.525189
-19.0,1311,525.622623
