#{"t_start": 1640972137.5661633, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,900,10.808312
-21.0,820,19.489333
-19.0,964,29.748646
-21.0,764,37.918185
-20.0,928,47.895348
-21.0,761,56.103545
-19.0,943,66.287635
-21.0,821,75.032007
-20.0,931,85.01322
-21.0,891,94.621816
-21.0,760,102.861893
-21.0,806,111.478211
-21.0,758,119.663304
-19.0,1099,131.437141
-20.0,896,141.058372
-21.0,806,149.768916
-21.0,792,158.35801
-20.0,931,168.390053
-21.0,847,177.533283
-20.0,832,186.43888
-20.0,831,195.345197
-20.0,955,205.723026
-21.0,1006,216.474412
-16.0,1181,229.1779
-20.0,968,239.644701
-21.0,913,249.460979
-21.0,881,258.997577
-19.0,926,268.958148
-21.0,937,279.000382
-21.0,822,287.840279
-21.0,912,297.681319
-20.0,840,306.693117
-20.0,919,316.581934
-21.0,820,325.427561
-21.0,819,334.187624
-19.0,1139,346.363029
-20.0,859,355.601541
-20.0,944,365.706266
-21.0,883,375.245609
-20.0,900,384.909781
-21.0,820,393.723539
-19.0,954,403.985353
-20.0,897,413.650218
-20.0,1021,424.651121
-20.0,899,434.308232
-19.0,1159,446.762256
-21.0,816,455.536223
-20.0,867,464.824058
-21.0,942,475.018527
-20.0,947,485.23016
-21.0,871,494.543152
-21.0,980,505.010548
-19.0,1029,516.105909
-20.0,1125,528.224287
