#{"t_start": 1640972137.57147, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,760,9.563746
-20.0,1082,20.806775
-20.0,865,29.998672
-21.0,760,38.120182
-21.0,822,46.948306
-20.0,893,56.583802
-21.0,879,66.065299
-21.0,943,76.148561
-20.0,989,86.797328
-20.0,1077,98.386046
-21.0,760,106.553587
-21.0,823,115.347796
-21.0,820,124.140717
-21.0,941,134.305415
-21.0,802,142.940945
-20.0,899,152.622514
-21.0,1002,163.43979
-21.0,779,171.873632
-21.0,999,182.612571
-21.0,819,191.403978
-20.0,902,201.152555
-20.0,840,210.142962
-20.0,891,219.698332
-21.0,822,228.611485
-20.0,897,238.280452
-21.0,890,247.867958
-21.0,787,256.394342
-20.0,839,265.409316
-18.0,1005,276.209402
-20.0,911,285.990861
-20.0,940,296.136748
-20.0,903,305.843394
-21.0,823,314.688008
-20.0,852,323.848989
-20.0,833,332.75016
-20.0,1019,343.676065
-21.0,911,353.431344
-21.0,942,363.562272
-19.0,1079,375.178533
-20.0,955,385.434732
-21.0,879,394.920378
-19.0,1113,406.930484
-21.0,902,416.566642
-21.0,760,424.794107
-21.0,896,434.405252
-21.0,974,444.855982
-20.0,980,455.389436
-19.0,933,465.424225
-21.0,932,475.493806
-21.0,908,485.290452
-21.0,999,495.99014
-20.0,917,505.768458
-20.0,1271,519.531715
