#{"t_start": 1641013625.7843254, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,758,9.422427
-21.0,759,17.068769
-21.0,785,25.227373
-20.0,1017,35.76972
-20.0,953,45.652295
-19.0,1020,56.259229
-21.0,819,64.734137
-21.0,879,73.797258
-19.0,1141,85.810481
-20.0,869,94.778158
-21.0,912,104.259006
-21.0,823,112.731505
-20.0,973,122.845948
-21.0,845,131.663149
-21.0,901,141.04232
-21.0,759,148.936638
-21.0,760,156.777704
-20.0,929,166.393147
-20.0,837,175.134839
-21.0,782,183.163008
-19.0,1034,193.867596
-20.0,838,202.550275
-20.0,957,212.475347
-21.0,880,221.619327
-21.0,873,230.632948
-18.0,1077,241.722309
-21.0,1049,252.55026
-20.0,915,262.044185
-21.0,1010,272.497899
-20.0,832,281.093526
-18.0,1068,292.144433
-20.0,981,302.262601
-21.0,818,310.772227
-20.0,946,320.521605
-21.0,760,328.424957
-20.0,864,337.391964
-20.0,1001,347.73208
-20.0,956,357.698292
-20.0,836,366.297633
-21.0,848,375.072678
-21.0,788,383.163246
-19.0,939,392.834112
-20.0,916,402.358352
-21.0,779,410.424932
-19.0,1011,420.84774
-20.0,975,431.000888
-21.0,819,439.531121
-20.0,918,449.028034
-21.0,761,456.927245
-21.0,822,465.433038
-21.0,757,473.31546
-18.0,1012,483.831093
-20.0,930,493.548925
-19.0,1001,503.929489
-20.0,1291,517.362619
-19.0,1296,530.842637
-21.0,929,540.439811
-20.0,880,549.557357
-20.0,997,559.892025
-20.0,1047,570.71528
-20.0,1078,581.80557
-20.0,891,591.034568
-21.0,879,600.18479
-21.0,943,610.025783
-20.0,948,619.914283
-21.0,869,628.926476
-21.0,937,638.702694
-21.0,787,646.920699
-21.0,778,654.929456
-20.0,893,664.224818
-20.0,914,673.713897
-21.0,1019,684.287541
-21.0,824,692.819091
-21.0,869,701.780741
-19.0,1008,712.252893
-20.0,864,721.242256
-20.0,865,730.168627
-21.0,849,738.988365
-21.0,882,748.128038
-21.0,758,755.983615
-21.0,758,763.771742
-21.0,1087,775.137471
-21.0,757,782.976419
-20.0,884,792.055671
-21.0,763,799.948523
-21.0,779,808.068593
-21.0,761,815.968944
-19.0,998,826.342299
-20.0,1038,837.143328
-21.0,1059,848.162838
-21.0,866,857.149582
-21.0,867,866.188302
-20.0,986,876.457811
-21.0,839,885.151893
-20.0,1005,895.619346
-21.0,879,904.671133
-20.0,920,914.286841
-20.0,1097,925.688666
-20.0,902,935.070584
-21.0,941,944.831199
-21.0,819,953.333442
-21.0,787,961.499278
-18.0,1349,975.589159
-21.0,818,984.091806
-21.0,758,991.969646
-21.0,757,999.821801
-21.0,791,1008.082467
-20.0,864,1017.10765
-21.0,955,1026.985937
-20.0,914,1036.474676
-21.0,929,1046.114394
-21.0,868,1055.147268
-19.0,965,1065.167209
-21.0,805,1073.574159
-19.0,1051,1084.487868
-19.0,1089,1095.770624
-21.0,791,1104.006647
-21.0,985,1114.177567
-20.0,1051,1125.037409
-20.0,898,1134.333788
-21.0,787,1142.546118
-20.0,836,1151.196511
-20.0,1049,1162.122304
-21.0,821,1170.618244
-19.0,1052,1181.487086
-21.0,882,1190.646078
-21.0,819,1199.159041
-21.0,929,1208.786804
-20.0,869,1217.801489
-21.0,966,1227.764755
-21.0,910,1237.192805
-20.0,841,1245.856113
-21.0,845,1254.683495
-21.0,907,1264.045129
-20.0,1031,1274.77365
-20.0,836,1283.425455
-21.0,946,1293.272565
-21.0,758,1301.092292
-21.0,758,1308.889227
-20.0,950,1318.741871
-21.0,781,1326.837231
-21.0,815,1335.320232
-20.0,896,1344.621407
-21.0,761,1352.556617
-19.0,970,1362.607801
-21.0,764,1370.543375
-21.0,761,1378.461327
-20.0,927,1388.16098
-20.0,918,1397.724024
-21.0,762,1405.609906
-20.0,960,1415.563728
-21.0,902,1424.921334
-18.0,1239,1437.808537
-21.0,878,1446.920299
-19.0,1044,1457.853861
-21.0,802,1466.211545
-20.0,920,1475.806185
-20.0,1098,1487.214353
-21.0,792,1495.384532
-21.0,1130,1507.158113
-19.0,1027,1517.760851
-21.0,820,1526.312559
-20.0,836,1534.98587
-21.0,762,1542.933869
-21.0,818,1551.525405
-21.0,838,1560.298454
-21.0,819,1568.754098
-20.0,964,1578.831634
-20.0,920,1588.401324
-20.0,897,1597.763725
-21.0,886,1606.95583
-21.0,912,1616.44959
-21.0,908,1625.876561
-21.0,822,1634.419123
-21.0,818,1642.931245
-19.0,1065,1654.082904
-19.0,1050,1664.991966
-20.0,864,1673.936416
-21.0,810,1682.311312
-19.0,978,1692.50894
-19.0,1095,1703.902383
-20.0,869,1712.901667
-21.0,788,1721.075263
-21.0,759,1729.00779
-21.0,785,1737.222918
-20.0,925,1746.81421
-21.0,927,1756.494742
-20.0,837,1765.155361
-20.0,898,1774.423272
-20.0,1018,1784.958932
-21.0,821,1793.59158
-18.0,1160,1805.764204
-20.0,838,1814.428486
-20.0,901,1823.857219
-20.0,953,1833.680275
-21.0,826,1842.269707
-21.0,824,1850.894627
-21.0,865,1859.945214
-20.0,1036,1870.6999
-21.0,819,1879.211335
-21.0,879,1888.33482
-21.0,818,1896.792165
-21.0,868,1905.826817
-19.0,931,1915.515712
-21.0,821,1923.963101
-21.0,910,1933.490538
-21.0,848,1942.368325
-19.0,1019,1952.928009
-21.0,764,1960.936286
-21.0,762,1968.866235
-21.0,856,1977.783023
-18.0,1052,1988.762688
-20.0,870,1997.841994
-21.0,790,2006.070386
-21.0,764,2014.013951
-19.0,1054,2025.052869
-21.0,878,2034.236566
-21.0,807,2042.658285
-20.0,932,2052.359985
-20.0,987,2062.579794
-20.0,897,2071.888113
-20.0,869,2080.943277
-18.0,1187,2093.298188
-21.0,822,2101.890253
-21.0,969,2112.017292
-21.0,1001,2122.402628
-20.0,872,2131.526922
-21.0,855,2140.446419
-20.0,1041,2151.261285
-21.0,882,2160.438439
-21.0,903,2169.858204
-18.0,1134,2181.61438
-21.0,764,2189.634397
-21.0,760,2197.532701
-21.0,764,2205.507369
-21.0,819,2214.049289
-21.0,760,2221.978655
-21.0,905,2231.379124
-21.0,904,2240.729724
-21.0,834,2249.442139
