#{"t_start": 1641013625.7683823, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,857,10.331458
-20.0,1008,20.783411
-21.0,806,29.108902
-21.0,788,37.225396
-21.0,790,45.419255
-20.0,1045,56.316055
-19.0,1086,67.557862
-21.0,868,76.54366
-21.0,822,85.201239
-21.0,899,94.455133
-21.0,760,102.330689
-19.0,947,112.152786
-21.0,912,121.631102
-21.0,760,129.518291
-21.0,826,138.137994
-21.0,762,146.040249
-20.0,912,155.499043
-18.0,1170,167.650021
-20.0,1274,180.818337
-21.0,787,188.937327
-20.0,897,198.25483
-21.0,822,206.764793
-21.0,846,215.55728
-20.0,834,224.213648
-19.0,1123,235.766903
-21.0,840,244.446504
-20.0,990,254.655184
-19.0,1021,265.224232
-20.0,1004,275.654669
-20.0,831,284.287269
-21.0,847,292.994024
-19.0,1059,303.913952
-20.0,1104,315.389559
-19.0,1230,328.112985
-21.0,759,335.982914
-20.0,868,344.961263
-21.0,763,352.883743
-21.0,789,361.072136
-21.0,973,371.125637
-18.0,1302,384.514462
-21.0,847,393.2686
-21.0,897,402.589852
-20.0,888,411.805952
-20.0,904,421.098388
-21.0,825,429.719901
-21.0,824,438.290374
-21.0,824,446.845638
-20.0,925,456.38489
-19.0,990,466.622238
-21.0,804,475.029568
-20.0,928,484.68168
-21.0,824,493.24888
-20.0,855,502.153417
-21.0,876,511.317597
-20.0,1099,522.699009
-21.0,876,531.770111
-21.0,1055,542.671389
-20.0,897,551.955759
-20.0,920,561.475315
-20.0,865,570.417214
-20.0,832,579.043401
-20.0,926,588.63183
-20.0,861,597.530071
-21.0,942,607.350129
-20.0,856,616.244601
-20.0,988,626.505432
-21.0,821,635.108019
-21.0,962,645.150776
-20.0,901,654.438588
-20.0,1043,665.28389
-21.0,821,673.819835
-20.0,838,682.478208
-20.0,954,692.363981
-20.0,964,702.325863
-19.0,1181,714.634638
-21.0,910,724.071062
-21.0,759,731.898667
-21.0,761,739.825757
-21.0,880,748.931014
-21.0,757,756.801751
-21.0,762,764.631214
-19.0,1020,775.281632
-20.0,922,784.849978
-21.0,865,793.751338
-20.0,1155,805.714427
-21.0,840,814.437759
-21.0,762,822.354243
-21.0,837,831.085792
-21.0,874,840.134811
-21.0,822,848.712214
-20.0,947,858.538748
-21.0,895,867.895489
-21.0,759,875.738747
-20.0,1035,886.493368
-20.0,865,895.492003
-21.0,909,904.869893
-21.0,820,913.41031
-21.0,782,921.607877
-20.0,895,930.870408
-21.0,793,939.146685
-20.0,930,948.778148
-19.0,1004,959.260239
-20.0,1113,970.755248
-21.0,763,978.758099
-21.0,762,986.659599
-21.0,763,994.598597
-21.0,759,1002.420956
-21.0,763,1010.423494
-21.0,909,1019.93231
-19.0,1034,1030.628254
-19.0,1180,1042.901207
-21.0,881,1052.05357
-19.0,981,1062.224804
-20.0,841,1070.950963
-21.0,782,1079.117741
-21.0,815,1087.553894
-21.0,836,1096.25497
-21.0,881,1105.41297
-20.0,894,1114.627228
-18.0,1128,1126.303271
-20.0,886,1135.51229
-21.0,825,1144.047807
-21.0,911,1153.514464
-21.0,840,1162.255262
-19.0,964,1172.232079
-19.0,1114,1183.770288
-20.0,914,1193.265305
-20.0,897,1202.569985
-21.0,907,1212.003732
-21.0,882,1221.153407
-21.0,946,1230.896301
-20.0,839,1239.587165
-21.0,820,1248.032653
-20.0,988,1258.255888
-21.0,875,1267.332506
-20.0,1064,1278.384559
-21.0,894,1287.688006
-21.0,943,1297.471167
-20.0,900,1306.723969
-21.0,761,1314.563537
-21.0,818,1323.05658
-21.0,851,1331.887066
-21.0,759,1339.786324
-19.0,973,1349.881804
-21.0,758,1357.762662
-21.0,758,1365.64544
-21.0,759,1373.544256
-20.0,857,1382.494397
-21.0,758,1390.422292
-20.0,864,1399.374456
-21.0,758,1407.287984
-21.0,820,1415.761619
-20.0,870,1424.761929
-21.0,842,1433.581465
-20.0,1154,1445.511266
-21.0,762,1453.530427
-21.0,758,1461.374212
-21.0,761,1469.313765
-20.0,859,1478.299236
-21.0,850,1487.079004
-21.0,987,1497.278883
-20.0,957,1507.277101
-20.0,834,1515.878214
-21.0,850,1524.695344
-21.0,848,1533.504397
-21.0,762,1541.464548
-20.0,902,1550.903656
-21.0,848,1559.794849
-21.0,965,1569.842795
-20.0,842,1578.577312
-20.0,834,1587.232394
-21.0,847,1596.090612
-21.0,963,1606.102544
-21.0,903,1615.506364
-21.0,848,1624.352829
-20.0,957,1634.243484
-21.0,910,1643.722652
-21.0,762,1651.72407
-20.0,860,1660.687367
-20.0,869,1669.675893
-20.0,898,1678.953969
-21.0,782,1687.103034
-18.0,1257,1700.198788
-20.0,925,1709.793519
-20.0,1007,1720.18804
-20.0,860,1729.220268
-19.0,1080,1740.49033
-20.0,978,1750.68213
-21.0,880,1759.8467
-20.0,833,1768.436531
-21.0,859,1777.313095
-20.0,840,1786.038272
-20.0,837,1794.804404
-21.0,875,1803.949227
-20.0,854,1812.779101
-21.0,787,1821.01108
-21.0,885,1830.154993
-21.0,760,1838.12569
-21.0,820,1846.63283
-21.0,908,1856.157886
-21.0,822,1864.683232
-21.0,1223,1877.337157
-20.0,964,1887.407806
-20.0,1062,1898.418242
-21.0,786,1906.61475
-19.0,959,1916.588621
-21.0,881,1925.684658
-21.0,762,1933.664512
-21.0,930,1943.37074
-21.0,787,1951.514769
-21.0,780,1959.669562
-21.0,759,1967.56266
-21.0,1023,1978.247994
-21.0,852,1987.111434
-19.0,1052,1998.142419
-20.0,977,2008.312285
-20.0,840,2017.058286
-20.0,868,2026.15193
-20.0,1006,2036.652536
-19.0,1047,2047.575161
-21.0,778,2055.62748
-21.0,788,2063.813865
-20.0,1107,2075.384483
-20.0,989,2085.690873
-17.0,1339,2099.588637
-21.0,825,2108.219687
-21.0,854,2117.10889
-19.0,1189,2129.483824
-21.0,955,2139.43785
-21.0,764,2147.381778
-21.0,759,2155.267011
-21.0,762,2163.235119
-19.0,1142,2175.10725
-20.0,944,2184.884932
-18.0,1090,2196.33957
-21.0,824,2204.903398
-20.0,951,2214.818986
-21.0,851,2223.733916
-21.0,900,2233.10612
-19.0,973,2243.169593
-21.0,817,2251.682222
-21.0,787,2259.899019
-21.0,825,2268.516122
-21.0,791,2276.756954
-21.0,1198,2289.225869
-20.0,895,2298.507025
-20.0,890,2307.770369
-21.0,819,2316.296475
-20.0,901,2325.658222
-21.0,868,2334.630169
-21.0,1030,2345.384842
-21.0,881,2354.536237
-21.0,884,2363.809957
-19.0,1214,2376.459117
-18.0,1095,2387.90135
-18.0,1112,2399.459105
-20.0,962,2409.473653
-21.0,819,2418.051624
-20.0,919,2427.61142
-21.0,910,2437.207846
-21.0,762,2445.172528
-21.0,879,2454.295496
-20.0,899,2463.684907
-21.0,913,2473.142268
-20.0,1007,2483.545133
-21.0,841,2492.387491
-21.0,820,2500.915264
-21.0,792,2509.182589
-18.0,1073,2520.333512
-20.0,864,2529.35498
-21.0,791,2537.625447
-21.0,776,2545.68307
-18.0,1198,2558.107268
-21.0,790,2566.343113
-19.0,1067,2577.400728
-20.0,876,2586.475957
-21.0,779,2594.611806
-21.0,960,2604.591636
-20.0,914,2614.040328
-21.0,824,2622.633866
-20.0,916,2632.206291
-21.0,821,2640.800728
-21.0,922,2650.30759
-21.0,1138,2662.235318
-20.0,1032,2672.925957
-20.0,840,2681.639988
-21.0,875,2690.672226
-21.0,762,2698.568462
-19.0,1001,2708.949866
-21.0,758,2716.769082
-21.0,761,2724.665461
-21.0,853,2733.573832
-20.0,940,2743.331259
-21.0,763,2751.28175
-21.0,792,2759.585492
-21.0,790,2767.850341
-21.0,761,2775.741138
-21.0,821,2784.384099
-21.0,762,2792.315475
-21.0,764,2800.247061
-21.0,763,2808.225818
-20.0,962,2818.212627
-21.0,940,2828.017839
-21.0,958,2837.956593
-21.0,870,2847.107484
-21.0,822,2855.704087
-20.0,975,2865.814786
-20.0,925,2875.47358
-20.0,863,2884.451437
-21.0,762,2892.395438
-19.0,1133,2904.136286
-19.0,914,2913.672442
-21.0,904,2923.116195
-21.0,841,2931.825252
-20.0,991,2942.1438
-21.0,959,2952.088484
-20.0,886,2961.353265
-21.0,758,2969.273875
-20.0,892,2978.54003
-21.0,761,2986.441314
-20.0,905,2995.792442
-18.0,1194,3008.263077
-21.0,763,3016.274711
-21.0,817,3024.825161
-21.0,760,3032.762879
-20.0,891,3042.0215
-21.0,927,3051.743864
-20.0,868,3060.730309
-20.0,896,3070.057842
-19.0,1078,3081.223697
-20.0,981,3091.408475
-20.0,837,3100.058524
-21.0,904,3109.536178
-20.0,840,3118.279348
-21.0,940,3128.062948
-20.0,899,3137.431331
-21.0,851,3146.295571
-20.0,915,3155.857951
-21.0,824,3164.508213
-20.0,840,3173.240415
-21.0,877,3182.405164
-19.0,984,3192.693045
-21.0,876,3201.878281
-21.0,944,3211.798298
-21.0,791,3219.955826
-20.0,979,3230.203279
-20.0,940,3239.979457
-20.0,932,3249.661544
-20.0,1018,3260.314796
-20.0,955,3270.299699
-21.0,879,3279.489809
-21.0,898,3288.812984
-19.0,1024,3299.515692
-19.0,1044,3310.419208
-21.0,881,3319.576709
-21.0,928,3329.195028
-19.0,933,3338.910965
-20.0,942,3348.72966
-21.0,869,3357.802519
-20.0,929,3367.487018
-21.0,933,3377.167994
-20.0,1021,3387.804965
-20.0,923,3397.359982
-21.0,904,3406.701667
-21.0,783,3414.836191
-21.0,804,3423.328007
-21.0,777,3431.463806
-20.0,865,3440.421732
-20.0,851,3449.295211
-20.0,987,3459.476689
-20.0,896,3468.80246
-21.0,849,3477.665862
-19.0,1051,3488.609356
-20.0,921,3498.258945
-20.0,1051,3509.177458
-20.0,899,3518.519153
-21.0,821,3527.019534
-19.0,1056,3538.127017
-21.0,791,3546.316085
-21.0,936,3556.016567
-20.0,899,3565.390952
-21.0,762,3573.302262
-21.0,787,3581.555989
-21.0,954,3591.472033
-20.0,1013,3602.062169
-19.0,1089,3613.370994
-20.0,993,3623.784273
-21.0,820,3632.319833
-21.0,763,3640.284364
-21.0,909,3649.81859
-21.0,819,3658.333573
-21.0,824,3666.915112
-18.0,1148,3678.779826
-21.0,759,3686.712547
-21.0,906,3696.22085
-21.0,762,3704.190271
-20.0,957,3714.133795
-20.0,877,3723.245577
-21.0,758,3731.120232
-20.0,1168,3743.2379
-20.0,838,3751.922534
-21.0,895,3761.250532
-21.0,762,3769.142515
-21.0,757,3777.033826
-21.0,786,3785.244292
-21.0,762,3793.181413
-21.0,757,3801.045351
-21.0,757,3808.913207
-18.0,1060,3819.947318
-21.0,762,3827.938417
-21.0,869,3836.968433
-21.0,841,3845.651526
-21.0,818,3854.131307
-21.0,760,3861.987724
-21.0,820,3870.516601
-21.0,819,3879.024162
-21.0,759,3886.968151
-21.0,760,3894.911622
-20.0,838,3903.656446
-20.0,962,3913.645535
-20.0,1034,3924.438143
-19.0,1043,3935.284206
-21.0,763,3943.236635
-21.0,880,3952.459395
-21.0,879,3961.55935
-21.0,789,3969.750969
-20.0,983,3979.971087
-19.0,985,3990.13906
-21.0,762,3998.032642
-19.0,1086,4009.245286
-19.0,1004,4019.626458
-21.0,931,4029.322558
-21.0,819,4037.814139
-20.0,954,4047.757447
-21.0,839,4056.483158
-21.0,760,4064.381189
-21.0,760,4072.329941
-20.0,894,4081.609696
-21.0,879,4090.763551
-20.0,837,4099.559212
-21.0,900,4108.926948
-21.0,849,4117.698604
-21.0,821,4126.326903
-21.0,877,4135.563608
-20.0,1045,4146.414854
-21.0,908,4155.85884
-21.0,757,4163.67131
-20.0,935,4173.412043
-19.0,1045,4184.240355
-20.0,962,4194.326033
-20.0,1048,4205.485222
-21.0,823,4214.101321
-20.0,838,4222.820184
-21.0,875,4231.950203
-21.0,1087,4243.270806
-19.0,1096,4254.675882
-21.0,881,4263.821421
-20.0,1022,4274.581511
-21.0,944,4283.934308
-21.0,912,4293.406955
-20.0,917,4303.013527
-21.0,864,4312.029212
-21.0,936,4321.804307
-21.0,852,4330.686213
-21.0,896,4339.983772
-20.0,869,4348.989244
-20.0,841,4357.787543
-20.0,930,4367.481318
-21.0,883,4376.665189
-21.0,1066,4387.933798
-19.0,1071,4399.051565
-20.0,1057,4409.975249
-19.0,1111,4421.522133
-19.0,1167,4433.697435
-19.0,965,4443.808882
-21.0,899,4453.17168
-20.0,1037,4464.007872
-21.0,1026,4474.696342
-18.0,1214,4487.332428
-20.0,1014,4497.764612
-21.0,913,4507.326695
-21.0,762,4515.281223
-21.0,908,4524.685813
-19.0,941,4534.482785
-19.0,975,4544.611782
-21.0,820,4553.095359
-21.0,908,4562.525101
-21.0,792,4570.723665
-19.0,933,4580.402891
-19.0,1087,4591.64451
-21.0,879,4600.832361
-20.0,831,4609.470581
-21.0,762,4617.428507
-21.0,758,4625.329983
-21.0,757,4633.207755
-21.0,846,4641.998461
-19.0,920,4651.644685
-21.0,911,4661.18342
-21.0,759,4669.087025
-21.0,823,4677.684156
-21.0,818,4686.219648
-21.0,870,4695.25895
-20.0,1073,4706.424123
-19.0,1174,4718.681808
-21.0,758,4726.599944
-19.0,951,4736.482877
-20.0,1099,4747.967106
-21.0,758,4755.890174
-21.0,819,4764.440407
-20.0,922,4773.991881
-21.0,969,4784.199801
-21.0,764,4792.213038
-21.0,849,4801.130894
-21.0,824,4809.73713
-21.0,822,4818.354736
-21.0,791,4826.580882
-20.0,1039,4837.404296
-21.0,929,4847.103276
-20.0,932,4856.80855
-20.0,1016,4867.386351
-20.0,886,4876.625621
-21.0,785,4884.809973
-21.0,955,4894.672797
-20.0,924,4904.3113
-20.0,1005,4914.750394
-20.0,833,4923.413966
-19.0,1036,4934.198487
