#{"t_start": 1641013625.7666845, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,1085,12.749238
-21.0,762,20.583498
-21.0,761,28.457469
-19.0,1075,39.606838
-21.0,786,47.729602
-17.0,1187,60.154142
-20.0,934,69.808548
-20.0,891,79.02059
-19.0,1055,90.023874
-20.0,841,98.723483
-19.0,954,108.573481
-21.0,845,117.37209
-19.0,929,127.010648
-20.0,840,135.759192
-21.0,1033,146.508382
-20.0,1093,157.826731
-20.0,840,166.537564
-20.0,1007,176.975
-21.0,908,186.344504
-21.0,821,194.871303
-19.0,953,204.745613
-19.0,963,214.742005
-20.0,898,224.047215
-20.0,837,232.691446
-21.0,1063,243.643984
-21.0,790,251.7946
-21.0,839,260.462897
-20.0,1036,271.210184
-20.0,838,279.853346
-21.0,820,288.402625
-20.0,1019,298.90186
-20.0,912,308.318971
-20.0,939,318.018605
-21.0,785,326.137929
-20.0,957,336.09436
-21.0,938,345.784332
-21.0,789,354.019264
-20.0,958,363.922791
-21.0,848,372.669402
-20.0,900,381.8979
-20.0,839,390.53487
-21.0,938,400.233712
-20.0,923,409.836384
-21.0,884,418.965753
-21.0,760,426.853919
-21.0,791,435.075907
-21.0,761,443.011218
-21.0,762,450.861598
-21.0,757,458.757666
-21.0,786,466.868821
-21.0,763,474.830642
-21.0,878,483.962274
-21.0,909,493.435293
-20.0,927,503.073368
-20.0,984,513.351229
-21.0,822,521.864259
-20.0,836,530.483918
-21.0,1046,541.338504
-21.0,779,549.395945
-21.0,776,557.42154
-21.0,823,565.959097
-21.0,935,575.646934
-21.0,901,584.931419
-21.0,819,593.387197
-19.0,1007,603.849256
-21.0,886,613.126742
-21.0,823,621.657045
-21.0,853,630.55371
-20.0,959,640.555717
-20.0,928,650.201075
-18.0,1117,661.789554
-20.0,867,670.773527
-20.0,988,680.967305
-20.0,837,689.655226
-20.0,924,699.260637
-21.0,1015,709.784175
-19.0,1054,720.723011
-21.0,819,729.189543
-21.0,764,737.096673
-20.0,881,746.284055
-20.0,980,756.453682
-21.0,906,765.882958
-21.0,1066,776.939541
-20.0,866,785.900719
-20.0,870,794.874007
-19.0,1245,807.743293
-21.0,759,815.614372
-21.0,758,823.500928
-21.0,786,831.703113
-21.0,837,840.38193
-20.0,908,849.837674
-21.0,758,857.698445
-20.0,866,866.741667
-20.0,898,876.05537
-21.0,1121,887.734423
-20.0,836,896.433325
-21.0,943,906.152486
-21.0,906,915.586457
-20.0,1035,926.36102
-19.0,998,936.740216
-20.0,926,946.368863
-20.0,868,955.353812
-21.0,913,964.835426
-21.0,939,974.627769
-21.0,763,982.556225
-20.0,960,992.561311
-17.0,1243,1005.492044
-20.0,903,1014.953876
-21.0,761,1022.834161
-21.0,759,1030.727597
-21.0,909,1040.133534
-21.0,1021,1050.738099
-20.0,931,1060.404348
-21.0,761,1068.344574
-21.0,853,1077.22517
-20.0,914,1086.674121
-20.0,902,1096.043166
-21.0,852,1104.901325
-21.0,851,1113.658369
-21.0,822,1122.145423
-21.0,848,1130.991823
-20.0,868,1140.028948
-21.0,878,1149.07106
-20.0,925,1158.712558
-20.0,839,1167.345541
-21.0,904,1176.751966
-20.0,915,1186.252734
-21.0,847,1195.044938
-21.0,852,1203.893563
-20.0,917,1213.424967
-21.0,839,1222.105009
