#{"t_start": 1641047792.9758804, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
100.0,602,8.890686
40.0,354,12.13779
220.0,835,21.115513
60.0,438,25.786551
120.0,512,31.281223
300.0,879,40.693279
120.0,514,46.249241
140.0,539,51.973697
360.0,1111,63.839714
420.0,1427,79.194283
520.0,1592,96.105881
360.0,1144,108.289298
440.0,1420,123.41745
460.0,1404,138.402666
400.0,1245,151.658455
360.0,1238,164.905682
520.0,1506,181.00797
460.0,1323,195.058383
380.0,1273,208.714255
380.0,1276,222.159894
760.0,2269,246.225743
640.0,1960,267.086851
440.0,1422,282.073421
460.0,1304,295.877095
460.0,1406,310.690529
460.0,1417,325.608471
520.0,1496,341.352335
540.0,1652,358.757691
440.0,1229,371.662677
720.0,1947,392.163334
600.0,1750,410.722642
660.0,1848,430.230006
720.0,2109,452.580874
680.0,1878,472.424695
440.0,1363,486.854772
840.0,2231,510.464342
780.0,2033,531.905285
600.0,1702,549.851666
840.0,2268,573.770318
820.0,2146,596.550041
580.0,1485,612.264922
780.0,2138,634.903142
560.0,1507,650.874536
820.0,2168,673.798711
580.0,1629,690.927041
540.0,1472,706.36715
760.0,2049,728.169444
860.0,2266,752.242385
860.0,2267,776.158917
700.0,1888,796.245485
940.0,2242,820.064091
660.0,1671,837.885261
860.0,1455,853.30988
1580.0,2266,877.330195
920.0,1522,893.406437
980.0,1514,909.314629
800.0,1293,923.032545
1160.0,1931,943.564606
1120.0,1753,962.145219
1600.0,2268,986.133813
860.0,1339,1000.325321
1420.0,2073,1022.267024
1200.0,1813,1041.442349
1240.0,1889,1061.39519
280.0,762,1069.512701
880.0,1528,1085.689121
1280.0,1896,1105.834664
920.0,1506,1121.780143
1040.0,1521,1137.875818
1280.0,1874,1157.723207
1300.0,1822,1176.935249
1460.0,2020,1198.294614
1040.0,1581,1215.043213
1120.0,1610,1232.147905
880.0,1355,1246.463066
1660.0,2269,1270.503099
1680.0,2269,1294.529608
1480.0,2014,1315.869934
1700.0,2269,1339.827535
1120.0,1614,1356.818007
1300.0,1851,1376.386702
1640.0,2269,1400.428903
1700.0,2268,1424.324382
1680.0,2264,1448.249257
1700.0,2269,1472.151148
1560.0,2184,1495.248438
1620.0,2266,1519.20866
1620.0,2264,1543.19322
1180.0,1815,1562.338712
1680.0,2266,1586.250195
1720.0,2264,1610.191562
1700.0,2269,1634.211142
1700.0,2265,1658.079316
1680.0,2268,1682.021212
1620.0,2270,1705.950402
1660.0,2270,1729.961234
1680.0,2266,1753.9598
1660.0,2266,1777.825984
1640.0,2267,1801.841607
1680.0,2270,1825.82935
1320.0,1897,1846.088841
1660.0,2263,1869.966988
1600.0,2266,1893.930408
1720.0,2270,1917.990844
1700.0,2271,1941.956474
1780.0,2266,1965.848655
1720.0,2270,1989.845591
1700.0,2271,2013.803359
1380.0,1883,2033.68285
1640.0,2267,2057.533196
1680.0,2268,2081.467176
1300.0,1881,2101.41373
1320.0,1823,2120.644957
1740.0,2269,2144.623389
1640.0,2264,2168.572376
1700.0,2264,2192.432294
1280.0,1816,2211.643619
520.0,1083,2223.24277
260.0,993,2233.843875
360.0,936,2243.781106
1140.0,1673,2261.529173
1680.0,2268,2285.377642
1720.0,2268,2309.371837
1380.0,2076,2331.232691
1760.0,2264,2355.116827
1480.0,2051,2376.666984
1260.0,1831,2396.037251
1760.0,2267,2419.952346
1360.0,1805,2439.041882
1700.0,2269,2463.042116
1620.0,2265,2488.868172
