#{"t_start": 1641047793.0041084, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
0.0,316,6.405379
120.0,638,12.074674
100.0,499,17.389446
380.0,1136,29.693543
300.0,1059,41.081178
140.0,528,46.803285
440.0,1362,61.353944
260.0,875,70.813559
580.0,1658,88.460801
340.0,1106,100.17997
540.0,1442,115.572186
300.0,986,126.054474
520.0,1576,142.91163
300.0,977,153.265816
260.0,918,163.040537
180.0,699,170.507201
420.0,1198,183.269149
340.0,974,193.569861
340.0,1106,205.350504
560.0,1643,222.814371
760.0,2132,245.4123
480.0,1420,260.495409
560.0,1656,277.978485
600.0,1781,296.892462
240.0,869,305.991286
720.0,1990,327.012164
620.0,1845,346.423089
740.0,2017,367.718863
720.0,1954,388.335304
820.0,2267,412.328229
820.0,2269,436.315668
640.0,1694,454.237589
800.0,2175,477.263476
540.0,1540,493.566497
820.0,2274,517.591643
840.0,2273,541.597119
700.0,1951,562.239028
820.0,2273,586.17404
600.0,1693,604.158991
700.0,1796,623.259169
800.0,2266,647.200163
640.0,1749,665.618933
780.0,2013,686.936187
620.0,1722,705.05277
820.0,2268,729.160857
780.0,2032,750.720573
720.0,1866,770.362719
860.0,2266,794.42737
600.0,1515,810.45983
480.0,1320,824.52064
260.0,745,832.420473
380.0,915,842.087522
1140.0,1850,861.699438
1100.0,1666,879.370852
1320.0,1866,899.077784
1160.0,1952,919.716376
1460.0,2086,941.899769
940.0,1495,957.728492
1260.0,1892,977.726488
1240.0,1791,996.691385
1300.0,1992,1017.839771
1020.0,1557,1034.233778
1240.0,1826,1053.640505
860.0,1409,1068.52766
760.0,1445,1083.827239
1060.0,1646,1101.301515
1000.0,1557,1117.807552
1520.0,2130,1140.417697
1660.0,2269,1164.41991
1400.0,1980,1185.302088
800.0,1362,1199.710849
1500.0,2080,1221.725039
1700.0,2264,1245.837847
1680.0,2270,1269.872966
1340.0,2102,1292.095091
1400.0,1972,1313.036073
1720.0,2265,1336.970533
1360.0,1913,1357.14255
1300.0,1838,1376.574027
1460.0,2031,1398.063456
1700.0,2265,1421.931992
1680.0,2263,1445.818719
1680.0,2269,1469.745246
1660.0,2268,1493.737193
1660.0,2269,1517.72905
1720.0,2268,1541.7132
1640.0,2256,1565.608457
1720.0,2269,1589.513879
1680.0,2270,1613.558098
1680.0,2268,1637.476797
1700.0,2260,1661.348073
1760.0,2268,1685.238621
1640.0,2215,1708.618289
1680.0,2269,1732.606102
1380.0,2000,1753.783347
1320.0,1843,1773.181887
1720.0,2269,1797.15019
1640.0,2228,1820.784501
1300.0,1814,1840.094122
1380.0,1980,1861.088507
1180.0,1699,1878.912484
1540.0,2073,1900.836509
1740.0,2267,1924.893225
1720.0,2265,1948.801508
1740.0,2265,1972.726796
1500.0,2050,1994.349325
1720.0,2268,2018.267632
1320.0,1846,2037.733887
1740.0,2265,2061.550995
1680.0,2265,2085.482665
1560.0,2092,2107.641364
1700.0,2266,2131.5695
1660.0,2266,2155.525049
1620.0,2269,2179.540289
1640.0,2265,2203.405074
960.0,1566,2220.061429
300.0,922,2230.008957
340.0,901,2239.566673
740.0,1293,2253.265722
1620.0,2265,2277.141484
1760.0,2265,2301.02405
1680.0,2265,2324.967674
1720.0,2264,2348.872273
1680.0,2267,2372.716162
1340.0,1834,2392.087776
1720.0,2270,2415.95579
1760.0,2264,2440.018214
1700.0,2268,2464.027026
1700.0,2270,2489.878897
1340.0,1832,2509.170655
