#{"t_start": 1641047792.974803, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
60.0,554,8.464293
0.0,331,11.338001
20.0,360,15.183449
180.0,645,22.048408
340.0,1137,34.361319
140.0,688,41.726896
120.0,473,46.864594
240.0,715,54.419452
180.0,647,61.25908
400.0,1085,73.010935
460.0,1591,89.913213
540.0,1532,106.225173
280.0,929,116.122235
400.0,1222,129.102832
540.0,1564,145.820631
320.0,1015,156.626058
560.0,1662,174.420049
420.0,1305,188.380319
560.0,1673,206.229194
620.0,1750,224.809598
520.0,1573,241.3687
380.0,1226,254.382135
660.0,2001,275.604219
540.0,1504,291.525976
800.0,2273,315.570712
700.0,1957,336.2527
780.0,2265,360.130501
680.0,1930,380.406095
800.0,2148,403.182699
840.0,2264,427.142124
780.0,2032,448.638722
820.0,2270,472.701939
460.0,1351,486.996898
860.0,2277,511.061376
840.0,2207,534.393839
900.0,2274,558.366149
860.0,2271,582.363959
680.0,1833,601.779859
720.0,1834,621.296395
480.0,1381,635.818475
480.0,1266,649.224385
860.0,2263,673.141498
740.0,2036,694.627796
760.0,1989,715.640742
580.0,1560,732.209486
440.0,1192,744.773857
820.0,2155,767.558644
660.0,1712,785.607507
700.0,1819,804.89403
300.0,871,814.179711
680.0,1655,831.775962
940.0,1727,850.148334
840.0,1389,864.83315
1440.0,2256,888.780102
1440.0,2249,912.524624
1420.0,2270,936.64829
900.0,1451,952.023456
1220.0,1978,973.008474
1460.0,2266,997.006317
920.0,1538,1013.246065
1600.0,2161,1036.16157
1480.0,2074,1058.127064
580.0,1105,1069.842751
1320.0,1966,1090.647431
940.0,1578,1107.461342
1660.0,2266,1131.528936
1680.0,2266,1155.507157
1660.0,2267,1179.505672
1700.0,2265,1203.447866
1400.0,1948,1224.113543
1340.0,1904,1244.310734
1260.0,1779,1263.129901
1640.0,2270,1287.173863
1660.0,2268,1311.266129
1400.0,1958,1331.988061
1520.0,2266,1355.816525
1660.0,2267,1379.866913
1180.0,1673,1397.501638
1560.0,2267,1421.41385
1540.0,2134,1443.94284
1660.0,2270,1467.822484
1700.0,2267,1491.846678
1640.0,2263,1515.741241
1620.0,2188,1538.893416
1660.0,2265,1562.873529
1360.0,1863,1582.516847
1320.0,1870,1602.263561
1720.0,2264,1626.207465
1640.0,2271,1650.167359
1060.0,1577,1666.745544
1720.0,2270,1690.669928
1720.0,2272,1714.625311
1660.0,2267,1738.642762
1700.0,2269,1762.660689
1720.0,2266,1786.578514
1580.0,2269,1810.579676
1640.0,2269,1834.752715
1740.0,2269,1858.823959
1740.0,2266,1882.652445
1740.0,2273,1906.821543
1720.0,2268,1930.847441
1560.0,2049,1952.450255
1760.0,2268,1976.416991
1680.0,2270,2000.370423
1740.0,2271,2024.32679
1700.0,2270,2048.235101
1720.0,2269,2072.070919
1360.0,1880,2092.039915
1580.0,2154,2114.759625
1620.0,2269,2138.713443
1680.0,2264,2162.693395
1720.0,2265,2186.58649
1460.0,1952,2207.213408
660.0,1166,2219.577117
280.0,921,2229.498266
300.0,961,2239.720137
1000.0,1528,2255.884054
1720.0,2266,2279.749423
1760.0,2268,2303.727486
1480.0,2017,2325.03505
1660.0,2264,2348.935709
1060.0,1526,2364.877539
1340.0,1808,2383.966222
1760.0,2263,2407.77888
1720.0,2267,2431.896149
1640.0,2211,2455.212089
1480.0,2012,2476.490513
1620.0,2266,2502.287786
