#{"t_start": 1641047792.9385948, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
60.0,485,7.908114
20.0,362,11.000446
280.0,891,20.573018
200.0,759,28.721734
140.0,642,35.632756
160.0,654,42.640896
220.0,857,51.870295
460.0,1282,65.593339
340.0,1172,78.1696
560.0,1597,95.159213
360.0,1045,106.23513
480.0,1468,121.94666
320.0,995,132.507239
360.0,1275,146.1003
540.0,1642,163.663986
380.0,1226,176.785651
420.0,1422,191.903613
340.0,1053,203.109222
360.0,1197,215.823576
660.0,1994,236.935102
500.0,1605,253.937937
360.0,1194,266.630664
780.0,2264,290.586117
560.0,1649,308.051126
660.0,1998,329.138069
820.0,2277,353.156443
520.0,1537,369.342063
740.0,2032,390.754075
760.0,2124,413.263198
780.0,2134,435.799631
740.0,2010,457.103658
680.0,1954,477.789532
480.0,1304,491.581311
520.0,1578,508.223675
740.0,1942,528.738978
760.0,2049,550.354536
840.0,2274,574.35165
680.0,1746,592.7897
700.0,1836,612.299104
600.0,1589,629.142584
660.0,1769,647.836787
700.0,1899,667.856035
560.0,1517,683.877752
600.0,1591,700.616833
840.0,2196,723.906094
840.0,2275,748.064827
640.0,1639,765.333669
860.0,2267,789.332463
700.0,1770,808.091139
760.0,1832,827.66477
420.0,985,838.161874
260.0,724,845.769616
1400.0,2265,869.752179
1480.0,2147,892.541763
1340.0,1948,913.102456
1020.0,1581,929.862154
1160.0,1817,949.123771
1120.0,1731,967.501002
1600.0,2270,991.452137
1580.0,2219,1015.075355
840.0,1417,1030.007258
1680.0,2265,1054.076627
820.0,1317,1067.954195
460.0,1057,1079.146631
1240.0,1786,1098.05491
900.0,1494,1113.94904
1720.0,2264,1137.979451
1180.0,1730,1156.291525
1320.0,1857,1175.848186
1300.0,1780,1194.673865
660.0,1194,1207.261338
1160.0,1787,1226.261791
1680.0,2267,1250.335528
1420.0,2025,1271.724804
1640.0,2266,1295.758102
1500.0,2091,1317.920912
1720.0,2265,1341.858779
1300.0,1849,1361.271015
1820.0,2386,1386.586163
1300.0,1841,1405.993153
1720.0,2225,1429.439844
1240.0,1838,1448.87908
1320.0,1844,1468.253703
1740.0,2266,1492.279541
1740.0,2263,1516.160723
1680.0,2269,1540.160577
1640.0,2265,1564.161932
1540.0,2081,1586.077468
1320.0,1888,1606.052993
1620.0,2269,1630.046266
1700.0,2269,1653.969842
1740.0,2268,1677.926536
1740.0,2268,1701.779665
1600.0,2270,1725.843193
1580.0,2264,1749.74024
1680.0,2266,1773.678544
1640.0,2266,1797.623626
1540.0,2076,1819.624813
1340.0,1949,1840.39302
1720.0,2267,1864.355868
1380.0,1903,1884.438295
1460.0,1979,1905.390271
1700.0,2267,1929.405632
1700.0,2269,1953.36954
1620.0,2183,1976.41923
1740.0,2263,2000.292404
1760.0,2266,2024.183558
1700.0,2264,2048.039497
1320.0,1845,2067.424167
1680.0,2268,2091.447358
1740.0,2267,2115.393797
1700.0,2269,2139.379697
1500.0,2157,2162.175173
1740.0,2265,2186.086874
1760.0,2269,2210.082609
600.0,1104,2221.846432
180.0,721,2229.596654
520.0,1397,2244.480258
1660.0,2197,2267.712757
1580.0,2116,2290.02265
1600.0,2169,2312.907265
1700.0,2263,2336.771882
1700.0,2265,2360.665815
1680.0,2242,2384.300543
1680.0,2264,2408.125667
1560.0,2101,2430.459309
1720.0,2270,2454.423699
1740.0,2264,2478.38622
1640.0,2172,2503.171034
