#{"t_start": 1641047792.9842997, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
0.0,327,6.536452
40.0,385,9.690324
160.0,645,16.369471
140.0,693,23.825617
140.0,632,30.601823
240.0,827,39.473077
240.0,999,50.29318
500.0,1389,65.167712
340.0,1078,76.723242
300.0,979,87.132081
140.0,609,93.515071
440.0,1381,108.239609
140.0,583,114.362307
280.0,1046,125.481172
720.0,2053,147.459317
600.0,1758,166.30741
420.0,1379,181.045256
460.0,1442,196.377025
480.0,1407,211.373266
280.0,902,220.873388
660.0,1866,240.583955
660.0,1974,261.664965
520.0,1553,278.041068
760.0,2263,302.036978
700.0,2042,323.599154
780.0,2176,346.558613
680.0,1851,366.069435
660.0,1848,385.54596
780.0,2136,408.159823
720.0,2045,429.766711
760.0,1992,450.853789
720.0,2065,472.752342
400.0,1202,485.427428
740.0,2017,506.77674
700.0,1917,527.001739
760.0,2036,548.494447
840.0,2223,571.920794
820.0,2212,595.373346
560.0,1485,611.093282
620.0,1711,629.252495
860.0,2269,653.259336
680.0,1948,673.871985
700.0,1852,693.362272
880.0,2267,717.346413
820.0,2218,740.889214
800.0,2088,762.974925
800.0,2038,784.484317
480.0,1378,799.141905
820.0,2053,820.988924
500.0,1136,833.081486
840.0,1657,850.671821
1280.0,1877,870.529454
960.0,1507,886.499567
1200.0,1812,905.579456
1240.0,2065,927.508922
680.0,1227,940.493196
980.0,1503,956.414859
1620.0,2266,980.452632
700.0,1185,992.924817
1100.0,1706,1010.988366
1580.0,2270,1035.048545
600.0,1098,1046.641428
1340.0,1920,1066.944123
120.0,575,1073.051666
1440.0,2001,1094.212528
1080.0,1566,1110.910912
1220.0,1822,1130.237672
1720.0,2263,1154.194237
1680.0,2264,1178.116739
1700.0,2268,1202.102384
1180.0,1788,1221.02598
1200.0,1844,1240.670892
1640.0,2265,1264.653563
1160.0,1672,1282.319909
1580.0,2193,1305.595778
1340.0,1890,1325.588379
1260.0,1779,1344.345158
1660.0,2266,1368.230025
1360.0,1933,1388.711771
1680.0,2268,1412.675861
1680.0,2267,1436.514251
1360.0,1891,1456.472154
1460.0,2051,1478.098732
1680.0,2268,1502.093175
1620.0,2264,1526.02167
1680.0,2263,1550.031306
1720.0,2264,1573.916008
1680.0,2267,1597.877774
1700.0,2269,1621.889116
1620.0,2265,1645.75139
1640.0,2265,1669.68163
1720.0,2265,1693.548954
1540.0,2108,1715.788622
1640.0,2270,1739.831197
1700.0,2275,1763.901978
1640.0,2270,1787.883326
1720.0,2266,1811.831278
1720.0,2267,1836.014362
1660.0,2267,1860.036544
1720.0,2270,1883.925901
1280.0,1815,1903.12921
1700.0,2270,1927.219611
1680.0,2268,1951.144328
1660.0,2256,1974.991883
1740.0,2267,1998.89244
1680.0,2264,2022.785591
1680.0,2268,2046.664951
1740.0,2265,2070.52856
1680.0,2221,2094.067619
1740.0,2265,2117.968807
1560.0,2265,2141.929201
1700.0,2269,2165.943525
1720.0,2265,2189.802799
1700.0,2265,2213.803376
280.0,783,2222.150447
140.0,581,2228.35082
300.0,938,2238.320157
800.0,1324,2252.354065
1320.0,1812,2271.466861
1740.0,2270,2295.385543
1560.0,2115,2317.784197
1760.0,2269,2341.688285
1720.0,2267,2365.542918
1400.0,1907,2385.689549
1740.0,2264,2409.502352
1740.0,2253,2433.449528
1740.0,2266,2457.363712
1640.0,2267,2481.334686
1680.0,2265,2507.091284
