#{"t_start": 1641047793.0013523, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
20.0,312,6.362602
200.0,649,12.176636
160.0,539,17.893674
200.0,665,25.057786
120.0,523,30.681458
340.0,1121,42.76508
460.0,1416,57.974278
320.0,888,67.528569
560.0,1749,86.241317
480.0,1560,102.821441
200.0,708,110.353663
300.0,1066,121.672966
380.0,1253,135.017738
500.0,1643,152.579514
440.0,1324,166.771006
360.0,1177,179.283853
580.0,1700,197.415057
300.0,941,207.483677
660.0,1893,227.573581
400.0,1246,240.623183
420.0,1257,253.963516
560.0,1653,271.519779
680.0,1972,292.404309
480.0,1467,307.895315
380.0,1313,321.695033
640.0,1901,341.758535
600.0,1751,360.219378
540.0,1603,377.056022
600.0,1720,395.236131
720.0,2047,416.906385
640.0,1769,435.537089
880.0,2255,459.526284
740.0,1939,480.030292
600.0,1614,497.076903
480.0,1371,511.526681
780.0,2165,534.412367
620.0,1638,551.618279
600.0,1617,568.707916
640.0,1812,587.796279
780.0,2005,609.078764
700.0,1859,628.811339
840.0,2117,651.264085
700.0,1840,670.642998
680.0,1748,689.078283
760.0,2006,710.249674
520.0,1429,725.373486
860.0,2275,749.524161
740.0,2005,770.682016
740.0,1899,790.776491
660.0,1721,809.073747
540.0,1358,823.506165
600.0,1240,836.71495
880.0,1494,852.583036
420.0,841,861.371336
1480.0,2233,885.089417
1240.0,1822,904.303475
1060.0,1623,921.495163
1000.0,1591,938.365653
1560.0,2265,962.447779
1160.0,1849,981.989921
460.0,856,990.905663
1020.0,1647,1008.383154
1220.0,1893,1028.39705
1280.0,1936,1048.976601
1100.0,1692,1066.819385
340.0,859,1075.99651
1340.0,1870,1095.709816
560.0,1020,1106.591769
1380.0,2053,1128.391341
1340.0,2019,1149.746808
1300.0,1953,1170.361831
1580.0,2269,1194.390836
1100.0,1580,1211.122755
1560.0,2195,1234.421346
1620.0,2243,1258.203806
1600.0,2187,1281.347079
1600.0,2268,1305.42155
1540.0,2269,1329.479374
1600.0,2181,1352.438016
1660.0,2270,1376.453768
1520.0,2117,1398.863627
1680.0,2266,1422.741909
1640.0,2269,1446.717281
1740.0,2269,1470.621391
1360.0,1887,1490.543492
1680.0,2264,1514.479193
1700.0,2269,1538.486791
1440.0,1967,1559.271701
1720.0,2263,1583.199259
1660.0,2267,1607.197537
1660.0,2264,1631.097954
1420.0,1977,1651.938121
1680.0,2268,1675.923959
1700.0,2271,1699.798802
1720.0,2269,1723.846773
1640.0,2267,1747.790456
1500.0,2016,1769.047899
1720.0,2267,1793.015682
1640.0,2263,1816.94022
1720.0,2267,1841.1399
1700.0,2263,1865.068093
1680.0,2266,1888.963701
1640.0,2264,1912.9863
1440.0,2053,1934.671626
1680.0,2264,1958.561257
1720.0,2264,1982.493718
1660.0,2271,2006.423079
1640.0,2270,2030.407882
1760.0,2265,2054.25045
1720.0,2264,2078.124834
1300.0,1809,2097.314846
1680.0,2269,2121.252086
1700.0,2271,2145.261759
1700.0,2267,2169.241919
1560.0,2057,2190.90643
1000.0,1416,2205.829018
780.0,1357,2220.267799
220.0,753,2228.358224
240.0,873,2237.637559
1200.0,1849,2257.251299
1680.0,2269,2281.139055
1660.0,2266,2305.088215
1680.0,2265,2328.994148
1740.0,2266,2352.915587
1620.0,2266,2376.779301
1760.0,2264,2400.638788
1720.0,2266,2424.638822
1540.0,2101,2446.813099
1280.0,1792,2465.835069
1700.0,2270,2491.671412
