#{"t_start": 1640972158.0780518, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
80.0,557,8.151129
300.0,969,18.208472
560.0,1550,34.648756
320.0,1090,46.200226
260.0,932,56.018991
320.0,929,65.851877
400.0,1299,79.509595
300.0,869,88.59832
380.0,1233,101.640696
320.0,1010,112.223406
540.0,1577,128.619006
520.0,1647,145.745855
560.0,1712,163.835781
340.0,1054,174.743005
260.0,935,184.52137
640.0,1857,203.961021
640.0,1920,224.036172
640.0,1938,244.361692
380.0,1237,257.360512
580.0,1843,276.783728
680.0,1993,297.711138
700.0,2064,319.32484
500.0,1544,335.550745
700.0,2029,356.893338
680.0,1990,377.763567
620.0,1837,397.052349
680.0,1937,417.452133
820.0,2264,441.183065
740.0,2108,463.285541
760.0,2085,485.133614
660.0,1882,504.791681
