#{"t_start": 1641047792.9552135, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
280.0,940,12.075407
160.0,694,19.54596
400.0,1275,33.327042
260.0,902,43.085629
460.0,1451,58.649976
560.0,1467,74.510871
240.0,771,82.63811
300.0,1009,93.312958
320.0,1085,104.810237
360.0,1122,116.824568
500.0,1409,131.805646
540.0,1636,149.288323
420.0,1200,162.093111
340.0,1019,172.995564
380.0,1164,185.38188
540.0,1489,201.169816
280.0,961,211.461038
680.0,1897,231.597404
360.0,1119,243.397829
360.0,1090,254.883633
580.0,1699,272.903014
520.0,1522,288.96601
760.0,2189,312.180901
560.0,1659,329.669781
680.0,1938,350.121216
720.0,2027,371.453169
780.0,2266,395.415599
820.0,2263,419.388975
760.0,1984,440.346123
800.0,2072,462.295903
580.0,1573,478.925966
820.0,2268,502.932644
760.0,2008,524.170048
520.0,1447,539.398992
840.0,2269,563.393745
780.0,2120,585.675865
760.0,1909,605.959526
240.0,697,613.327855
640.0,1854,632.962725
680.0,1745,651.458737
600.0,1577,668.00557
520.0,1542,684.28259
860.0,2258,708.105084
700.0,1881,728.065613
780.0,2019,749.468931
860.0,2264,773.393465
680.0,1848,792.98411
740.0,1986,814.123419
660.0,1672,831.928156
1020.0,1753,850.561991
940.0,1523,866.687162
1380.0,1975,887.599529
1420.0,2027,908.969981
960.0,1582,925.785655
760.0,1252,939.02992
920.0,1504,954.96014
1000.0,1514,971.040428
1400.0,2038,992.500124
1120.0,1738,1010.930329
860.0,1331,1024.998296
1560.0,2262,1048.997059
940.0,1403,1063.758781
200.0,616,1070.343589
1120.0,1935,1090.798698
1060.0,1658,1108.489317
1300.0,1835,1127.899088
1380.0,1940,1148.424081
1240.0,1721,1166.639536
1700.0,2263,1190.520666
1080.0,1666,1208.186753
1420.0,2035,1229.831965
1680.0,2268,1253.867597
1580.0,2194,1277.090574
1520.0,2270,1301.094353
1460.0,1980,1322.101348
1640.0,2268,1346.060256
1380.0,1943,1366.514041
1660.0,2270,1390.590751
1660.0,2268,1414.563533
1700.0,2269,1438.454785
1600.0,2269,1462.389247
1660.0,2269,1486.346624
1720.0,2267,1510.271003
1700.0,2266,1534.334847
1320.0,1887,1554.251161
1700.0,2270,1578.225784
1160.0,1673,1595.85421
1640.0,2269,1619.906571
1660.0,2249,1643.580307
1660.0,2263,1667.486561
1700.0,2266,1691.3692
1280.0,1795,1710.276767
1540.0,2085,1732.344575
1320.0,1902,1752.474261
1260.0,2007,1773.623558
1560.0,2077,1795.56953
1700.0,2268,1819.628232
1620.0,2192,1842.998461
940.0,1424,1858.018563
960.0,1441,1873.133353
1480.0,2109,1895.462287
1700.0,2269,1919.477906
1740.0,2265,1943.401288
1740.0,2267,1967.308656
1720.0,2263,1991.225071
1700.0,2264,2015.101425
1700.0,2266,2039.03295
1720.0,2264,2062.844813
1740.0,2264,2086.78857
1720.0,2268,2110.770615
1680.0,2267,2134.744793
1700.0,2264,2158.659193
1720.0,2263,2182.627288
1700.0,2263,2206.47789
880.0,1585,2223.463662
180.0,648,2230.368211
1000.0,2022,2251.852316
1580.0,2187,2274.941506
1700.0,2270,2298.878964
1740.0,2268,2322.853571
1680.0,2269,2346.790708
1740.0,2267,2370.635624
1680.0,2266,2394.604243
1700.0,2265,2418.475324
1360.0,1871,2438.29494
1480.0,2055,2460.011751
1580.0,2149,2484.592627
1620.0,2154,2507.319309
