#{"t_start": 1641047792.9699242, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
0.0,332,6.599023
40.0,447,10.312788
200.0,852,19.353508
260.0,862,28.634663
300.0,1026,39.713145
180.0,606,46.28236
340.0,906,55.930067
280.0,963,66.238995
160.0,531,71.944814
400.0,1131,83.95591
360.0,1091,95.517142
420.0,1323,109.615138
320.0,1029,120.52583
300.0,986,130.999221
240.0,889,140.469076
560.0,1797,159.682037
300.0,939,169.720554
300.0,1015,180.524291
380.0,1219,193.448678
200.0,702,200.801383
460.0,1431,216.135206
240.0,934,225.990344
560.0,1610,243.008218
540.0,1564,259.589482
680.0,1805,278.703132
660.0,1891,298.773758
740.0,2266,322.665564
620.0,1756,341.19323
640.0,1817,360.375738
780.0,2051,381.935381
660.0,1865,401.691625
740.0,2044,423.36099
740.0,1995,444.420061
820.0,2135,467.074605
360.0,1180,479.498661
660.0,1859,499.161319
820.0,2254,522.963492
700.0,2019,544.284281
760.0,2110,566.591619
760.0,2032,588.004193
660.0,1787,606.948577
820.0,2121,629.504075
800.0,1993,650.586191
700.0,1835,669.943065
740.0,1995,690.998992
600.0,1582,707.644281
680.0,1752,726.225044
820.0,2267,750.306147
820.0,2194,773.473451
800.0,2096,795.777001
880.0,2133,818.383847
760.0,1760,837.196562
1120.0,1776,856.041046
880.0,1400,870.833885
1500.0,2266,894.829175
1280.0,1863,914.521019
1540.0,2141,937.241379
1060.0,1651,954.745758
1280.0,2016,976.1349
920.0,1474,991.626381
1360.0,2096,1013.899352
860.0,1451,1029.214482
1440.0,1982,1050.255111
1060.0,1534,1066.403426
160.0,609,1072.897654
1260.0,1886,1092.819865
880.0,1483,1108.674166
1560.0,2120,1131.145241
820.0,1295,1144.782658
1700.0,2267,1168.750727
1660.0,2200,1192.037767
1700.0,2264,1216.041752
1700.0,2267,1240.13557
1480.0,2011,1261.432472
1520.0,2161,1284.324513
1440.0,2023,1305.779979
1640.0,2188,1328.965346
1700.0,2268,1352.833003
1100.0,1597,1369.668766
1700.0,2266,1393.675455
1660.0,2270,1417.632511
1720.0,2264,1441.47156
1740.0,2263,1465.355703
1600.0,2182,1488.398723
1700.0,2266,1512.397144
1640.0,2264,1536.368279
1740.0,2270,1560.390276
1320.0,1936,1580.793918
1560.0,2219,1604.266585
1680.0,2264,1628.204568
1520.0,2069,1649.996174
1580.0,2267,1673.957482
1720.0,2264,1697.802542
1580.0,2131,1720.325035
1660.0,2266,1744.270371
1640.0,2269,1768.238979
1740.0,2269,1792.197085
1660.0,2264,1816.138064
1540.0,2113,1838.691866
1440.0,2035,1860.276812
1720.0,2263,1884.100919
1660.0,2266,1908.15405
1560.0,2122,1930.60182
1540.0,2059,1952.320386
1740.0,2270,1976.295798
1720.0,2270,2000.260997
1740.0,2267,2024.178119
1540.0,2264,2048.029471
1680.0,2269,2071.868995
1680.0,2271,2095.989283
1560.0,2056,2117.653089
1700.0,2269,2141.640144
1720.0,2270,2165.674962
1700.0,2269,2189.564409
1700.0,2264,2213.57197
400.0,1014,2224.446634
220.0,770,2232.634398
440.0,1027,2243.552555
1340.0,1892,2263.618872
1740.0,2267,2287.477034
1660.0,2270,2311.457458
1760.0,2269,2335.371525
1700.0,2269,2359.332748
1720.0,2270,2383.215619
1700.0,2270,2407.127777
1740.0,2269,2431.239305
1320.0,1856,2450.815649
1700.0,2267,2474.777766
1660.0,2271,2500.607901
